taxon,min_age,max_age
t18_1_1,0.0519947375967387,0.0519947375967387
t42_1,0.567504084452392,0.567504084452392
t44_1,0.181921734558718,0.181921734558718
t47_1,0.0837280369177647,0.0837280369177647
t49_1,0.572392470003416,0.572392470003416
t53_1,0.257711903671997,0.257711903671997
t56_1,0.0909317043752123,0.0909317043752123
t56_2,0.0735336478238448,0.0735336478238448
t60_1,0.288904026191262,0.288904026191262
t10_1_1,0,0
t13_1_1,0,0
t14_1_1,0,0
t15_1_1,0,0
t15_1_2,0,0
t16_1_1,0,0
t17_1_1,0,0
t1_1_1,0,0
t20_1_1,0,0
t21_1_1,0,0
t22_1_1,0,0
t22_2_1,0,0
t22_3_1,0,0
t23_1_1,0,0
t25_1_1,0,0
t26_1_1,0,0
t27_1_1,0,0
t28_1_1,0,0
t29_1_1,0,0
t2_1_1,0,0
t30_1_1,0,0
t31_1_1,0,0
t34_1_1,0,0
t3_1_1,0,0
t44_1_1,0,0
t49_1_1,0,0
t4_1_1,0,0
t50_1_1,0,0
t52_1_1,0,0
t57_1_1,0,0
t5_1_1,0,0
t6_1_1,0,0
t7_1_1,0,0
t8_1_1,0,0
