taxon,min_age,max_age
t3_1_1,0.0438768409131914,0.0438768409131914
t6_1_1,0.010531153116157,0.010531153116157
t7_1_1,0.106868026157783,0.106868026157783
t20_1_1,0.00174830770434453,0.00174830770434453
t45_1,1.36927795372612,1.36927795372612
t45_1_1,1.36226501877039,1.36226501877039
t47_1,0.953133360505912,0.953133360505912
t55_1,1.01907281953747,1.01907281953747
t60_1,0.31102830534369,0.31102830534369
t63_1,0.256259871881274,0.256259871881274
t65_1,0.606658114404982,0.606658114404982
t66_1,0.402004897029964,0.402004897029964
t67_1,0.256638477622843,0.256638477622843
t73_1,0.240437268986672,0.240437268986672
t73_2,0.177471932443541,0.177471932443541
t77_1,0.266157520681892,0.266157520681892
t80_1,1.05702565028326,1.05702565028326
t106_1_1, 0, 0 
t107_1_1, 0, 0 
t107_2_1, 0, 0 
t107_3_1, 0, 0 
t113_1_1, 0, 0 
t13_1_1, 0, 0 
t13_1_2, 0, 0 
t17_1_1, 0, 0 
t17_2_1, 0, 0 
t23_1_1, 0, 0 
t24_1_1, 0, 0 
t25_1_1, 0, 0 
t27_1_1, 0, 0 
t27_1_2, 0, 0 
t28_1_1, 0, 0
t28_1_2, 0, 0 
t28_1_3, 0, 0 
t2_1_1, 0, 0 
t32_1_1, 0, 0 
t32_1_2, 0, 0 
t33_1_1, 0, 0 
t34_1_1, 0, 0 
t36_1_1, 0, 0 
t37_1_1, 0, 0 
t38_1_1, 0, 0 
t40_1_1, 0, 0 
t41_1_1, 0, 0 
t42_1_1, 0, 0 
t45_2, 0, 0 
t49_1_1, 0, 0 
t51_1_1, 0, 0 
t51_1_2, 0, 0 
t53_1_1, 0, 0 
t55_1_1, 0, 0 
t55_1_2, 0, 0 
t57_1_1, 0, 0 
t5_1_1, 0, 0 
t61_1_1, 0, 0 
t61_2_1, 0, 0 
t71_1_1, 0, 0 
t72_1_1, 0, 0 
t75_1_1, 0, 0 
t7_2_1, 0, 0 
t84_1_1, 0, 0 
t84_2_1, 0, 0 
t85_1_1, 0, 0 
