taxon,min_age,max_age
t1_1_1,0.015076636292278,0.015076636292278
t11_1_1,0.0663802260406564,0.0663802260406564
t42_1,0.614548847911101,0.614548847911101
t42_2,0.49718855001467,0.49718855001467
t44_1,0.354758732754773,0.354758732754773
t46_1,0.250592307624248,0.250592307624248
t51_1,0.0653782261286725,0.0653782261286725
t54_1,0.184857361566296,0.184857361566296
t55_1,0.0870810926382625,0.0870810926382625
t55_2,0.0971298373122547,0.0971298373122547
t58_1,0.165404997709062,0.165404997709062
t65_1,0.285653332518108,0.285653332518108
t73_1,0.0588199569420316,0.0588199569420316
t10_1_1, 0, 0 
t11_1_2, 0, 0 
t15_1_1, 0, 0 
t15_2_1, 0, 0 
t16_1_1, 0, 0 
t17_1_1, 0, 0 
t1_2_1, 0, 0 
t20_1_1, 0, 0 
t20_2_1, 0, 0 
t21_1_1, 0, 0 
t22_1_1, 0, 0 
t23_1_1, 0, 0 
t25_1_1, 0, 0 
t26_1_1, 0, 0 
t27_1_1, 0, 0
t27_2_1, 0, 0 
t2_1_1, 0, 0 
t30_1_1, 0, 0 
t30_1_2, 0, 0 
t32_1_1, 0, 0 
t32_2_1, 0, 0 
t33_1_1, 0, 0 
t34_1_1, 0, 0 
t35_1_1, 0, 0 
t3_1_1, 0, 0 
t48_1_1, 0, 0 
t48_2_1, 0, 0 
t49_1_1, 0, 0 
t4_1_1, 0, 0 
t51_1, 0, 0
t53_1_1, 0, 0 
t54_1, 0, 0 
t5_1_1, 0, 0 
t60_1_1, 0, 0 
t60_2_1, 0, 0 
t62_1_1, 0, 0 
t65_1_1, 0, 0 
t6_1_1, 0, 0 
t6_2_1, 0, 0 
t7_1_1, 0, 0 
t8_1_1, 0, 0 
t9_1_1, 0, 0
