taxon,min_age,max_age
t25_1_1,0.0546981769010571,0.0546981769010571
t43_1_1,0.950258871663839,0.950258871663839
t46_1_1,0.722789133447089,0.722789133447089
t46_2_1,0.757322436086602,0.757322436086602
t55_1_1,1.60446377086688,1.60446377086688
t61_1_1,2.24048995974444,2.24048995974444
t140_1,2.85893964844816,2.85893964844816
t146_1,2.07200483365251,2.07200483365251
t156_1,1.7530157995626,1.7530157995626
t166_1,1.41377016915545,1.41377016915545
t167_1,1.54470847089461,1.54470847089461
t169_1,0.913051854066193,0.913051854066193
t170_1,0.682894841016797,0.682894841016797
t182_1,0.639378066385619,0.639378066385619
t198_1,0.901390666863414,0.901390666863414
t200_1,0.922353725352468,0.922353725352468
t204_1,1.49991161355169,1.49991161355169
t211_1,0.878450064131551,0.878450064131551
t211_1_1,0.903881850157859,0.903881850157859
t213_1,0.357878601939537,0.357878601939537
t218_1,1.20123083965512,1.20123083965512
t221_1,0.587153489118558,0.587153489118558
t221_2,0.48508465895667,0.48508465895667
t231_1,0.253560803400926,0.253560803400926
t234_1,0.11892770477043,0.11892770477043
t245_1,0.168374763865367,0.168374763865367
t246_1,0.261311066024866,0.261311066024866
t249_1,0.144470352997976,0.144470352997976
t251_1,0.415680042353436,0.415680042353436
t256_1,0.477380234597116,0.477380234597116
t264_1,2.66073830029074,2.66073830029074
t106_1_1, 0, 0 
t106_2_1, 0, 0 
t110_1_1, 0, 0 
t110_2_1, 0, 0 
t111_1_1, 0, 0 
t113_1_1, 0, 0 
t113_2_1, 0, 0 
t120_1_1, 0, 0 
t121_1_1, 0, 0 
t121_1_2, 0, 0 
t121_1_3, 0, 0 
t126_1_1, 0, 0 
t128_1_1, 0, 0 
t128_2_1, 0, 0 
t128_3_1, 0, 0 
t133_1_1, 0, 0 
t137_1_1, 0, 0 
t141_1_1, 0, 0 
t151_1_1, 0, 0 
t157_1_1, 0, 0 
t159_1_1, 0, 0 
t15_1_1, 0, 0 
t15_2_1, 0, 0 
t15_2_2, 0, 0 
t15_2_3, 0, 0 
t161_1_1, 0, 0 
t166_1_1, 0, 0 
t166_1_2, 0, 0 
t170_1_1, 0, 0 
t175_1_1, 0, 0 
t176_1_1, 0, 0 
t176_2_1, 0, 0 
t176_2_2, 0, 0 
t177_1_1, 0, 0 
t177_1_2, 0, 0 
t181_1_1, 0, 0 
t186_1_1, 0, 0 
t187_1_1, 0, 0 
t190_1_1, 0, 0 
t191_1_1, 0, 0 
t191_1_2, 0, 0 
t193_1_1, 0, 0 
t193_1_2, 0, 0 
t195_1_1, 0, 0 
t197_1_1, 0, 0 
t1_1_1, 0, 0 
t1_1_2, 0, 0 
t202_1_1, 0, 0 
t203_1_1, 0, 0 
t203_2_1, 0, 0 
t209_1_1, 0, 0 
t211_2, 0, 0 
t212_1_1, 0, 0 
t215_1_1, 0, 0 
t216_1_1, 0, 0 
t223_1_1, 0, 0 
t224_1_1, 0, 0 
t226_1_1, 0, 0 
t226_2_1, 0, 0 
t229_1_1, 0, 0 
t231_1_1, 0, 0 
t245_1_1, 0, 0 
t263_1_1, 0, 0 
t265_1_1, 0, 0 
t268_1_1, 0, 0 
t268_2_1, 0, 0 
t272_1_1, 0, 0 
t276_1_1, 0, 0 
t286_1_1, 0, 0 
t289_1_1, 0, 0 
t289_1_2, 0, 0 
t292_1_1, 0, 0 
t296_1_1, 0, 0 
t296_2_1, 0, 0 
t296_3_1, 0, 0 
t298_1_1, 0, 0 
t298_2_1, 0, 0 
t298_3_1, 0, 0 
t299_1_1, 0, 0 
t299_1_2, 0, 0 
t29_1_1, 0, 0 
t2_1_1, 0, 0 
t2_2_1, 0, 0 
t2_3_1, 0, 0 
t2_4_1, 0, 0 
t304_1_1, 0, 0 
t304_2_1, 0, 0 
t306_1_1, 0, 0 
t30_1_1, 0, 0 
t310_1_1, 0, 0 
t310_2_1, 0, 0 
t310_3_1, 0, 0 
t317_1_1, 0, 0 
t31_1_1, 0, 0 
t322_1_1, 0, 0 
t323_1_1, 0, 0 
t324_1_1, 0, 0 
t331_1_1, 0, 0 
t334_1_1, 0, 0 
t335_1_1, 0, 0 
t33_1_1, 0, 0 
t350_1_1, 0, 0 
t354_1_1, 0, 0 
t354_2_1, 0, 0 
t362_1_1, 0, 0 
t366_1_1, 0, 0 
t369_1_1, 0, 0 
t36_1_1, 0, 0 
t372_1_1, 0, 0 
t373_1_1, 0, 0 
t381_1_1, 0, 0 
t384_1_1, 0, 0 
t399_1_1, 0, 0 
t401_1_1, 0, 0 
t409_1_1, 0, 0 
t409_2_1, 0, 0 
t409_3_1, 0, 0 
t43_2_1, 0, 0 
t47_1_1, 0, 0 
t47_1_2, 0, 0 
t53_1_1, 0, 0 
t53_1_2, 0, 0 
t67_1_1, 0, 0 
t69_1_1, 0, 0 
t70_1_1, 0, 0 
t70_2_1, 0, 0 
t72_1_1, 0, 0 
t74_1_1, 0, 0 
t75_1_1, 0, 0 
t75_1_2, 0, 0 
t75_1_3, 0, 0 
t75_1_4, 0, 0 
t75_1_5, 0, 0 
t78_1_1, 0, 0 
t78_2_1, 0, 0 
t80_1_1, 0, 0 
t81_1_1, 0, 0 
t84_1_1, 0, 0 
t84_2_1, 0, 0 
t84_3_1, 0, 0 
t86_1_1, 0, 0 
t8_1_1, 0, 0 
t90_1_1, 0, 0 
t93_1_1, 0, 0 
t93_2_1, 0, 0 
t95_1_1, 0, 0 
t97_1_1, 0, 0 
t97_2_1, 0, 0 
