taxon,min_age,max_age
t5_1_1,0.0143761385858291,0.0143761385858291
t13_1_1,0.0289721558924839,0.0289721558924839
t22_1_1,0.183715339231651,0.183715339231651
t38_1_1,0.357414252822828,0.357414252822828
t63_1,1.09481202155307,1.09481202155307
t64_1,0.368200924968816,0.368200924968816
t68_1,0.512364973846934,0.512364973846934
t68_2,0.519824389012246,0.519824389012246
t70_1,0.123818035885972,0.123818035885972
t73_1,0.0504392208990283,0.0504392208990283
t75_1,0.648675836967153,0.648675836967153
t75_2,0.554539499853643,0.554539499853643
t77_1,0.140534600818116,0.140534600818116
t79_1,0.492391948325976,0.492391948325976
t86_1,0.0857032151980062,0.0857032151980062
t89_1,0.114995529746488,0.114995529746488
t91_1,1.05930398533771,1.05930398533771
t92_1,0.946109331202764,0.946109331202764
t96_1,0.160799955309891,0.160799955309891
t98_1,0.147819951865174,0.147819951865174
t107_1,0.339099990825926,0.339099990825926
t101_1_1, 0, 0 
t101_2_1, 0, 0 
t11_1_1, 0, 0 
t15_1_1, 0, 0 
t15_1_2, 0, 0 
t21_1_1, 0, 0 
t21_2_1, 0, 0 
t22_2_1, 0, 0 
t26_1_1, 0, 0 
t26_1_2, 0, 0 
t28_1_1, 0, 0 
t28_2_1, 0, 0 
t30_1_1, 0, 0 
t30_2_1, 0, 0
t31_1_1, 0, 0 
t34_1_1, 0, 0 
t35_1_1, 0, 0 
t37_1_1, 0, 0 
t39_1_1, 0, 0 
t39_2_1, 0, 0 
t41_1_1, 0, 0 
t41_1_2, 0, 0 
t42_1_1, 0, 0 
t43_1_1, 0, 0 
t44_1_1, 0, 0 
t46_1_1, 0, 0 
t47_1_1, 0, 0 
t47_2_1, 0, 0 
t47_2_2, 0, 0 
t48_1_1, 0, 0 
t4_1_1, 0, 0 
t4_2_1, 0, 0 
t4_3_1, 0, 0 
t50_1_1, 0, 0 
t50_2_1, 0, 0 
t50_2_2, 0, 0 
t51_1_1, 0, 0 
t51_1_2, 0, 0 
t54_1_1, 0, 0 
t54_2_1, 0, 0 
t57_1_1, 0, 0 
t5_2_1, 0, 0 
t5_3_1, 0, 0 
t61_1_1, 0, 0 
t62_1_1, 0, 0 
t65_1_1, 0, 0 
t6_1_1, 0, 0 
t6_1_2, 0, 0 
t70_1_1, 0, 0 
t74_1_1, 0, 0 
t79_1_1, 0, 0 
t7_1_1, 0, 0 
t81_1_1, 0, 0 
t8_1_1, 0, 0 
t8_2_1, 0, 0
t92_1_1, 0, 0 
t93_1_1, 0, 0 
t93_2_1, 0, 0 
t93_3_1, 0, 0 
t9_1_1, 0, 0 
t9_1_2, 0, 0
