taxon,min_age,max_age
t11_1_1,0.0995976659352248,0.0995976659352248
t31_1_1,0.397546919709551,0.397546919709551
t31_1_2,0.563653801860955,0.563653801860955
t38_1_1,0.93506310772433,0.93506310772433
t71_1,1.46158909878559,1.46158909878559
t72_1,1.41211144436427,1.41211144436427
t73_1,1.12623176580767,1.12623176580767
t76_1,0.302912734972905,0.302912734972905
t85_1,1.38431204085877,1.38431204085877
t85_2,1.23624405223544,1.23624405223544
t100_1,0.126563211093148,0.126563211093148
t107_1,1.34519011193947,1.34519011193947
t109_1,1.10100414443769,1.10100414443769
t111_1,1.56829983388338,1.56829983388338
t111_2,1.49753625976372,1.49753625976372
t113_1,0.465631232268675,0.465631232268675
t127_1,0.0879071777126066,0.0879071777126066
t128_1,0.00518794501014418,0.00518794501014418
t100_1_1, 0, 0 
t101_1_1, 0, 0 
t101_2_1, 0, 0 
t105_1_1, 0, 0 
t106_1_1, 0, 0 
t106_1_2, 0, 0 
t108_1_1, 0, 0 
t113_1_1, 0, 0 
t115_1_1, 0, 0 
t116_1_1, 0, 0
t116_2_1, 0, 0
t120_1_1, 0, 0 
t122_1_1, 0, 0 
t122_1_2, 0, 0 
t123_1_1, 0, 0 
t124_1_1, 0, 0 
t12_1_1, 0, 0 
t12_2_1, 0, 0 
t12_3_1, 0, 0 
t145_1_1, 0, 0 
t153_1_1, 0, 0 
t165_1_1, 0, 0 
t165_2_1, 0, 0
t171_1_1, 0, 0 
t175_1_1, 0, 0 
t178_1_1, 0, 0 
t181_1_1, 0, 0 
t186_1_1, 0, 0 
t188_1_1, 0, 0 
t18_1_1, 0, 0 
t199_1_1, 0, 0 
t19_1_1, 0, 0 
t1_1_1, 0, 0 
t207_1_1, 0, 0 
t221_1_1, 0, 0 
t221_2_1, 0, 0 
t224_1_1, 0, 0 
t231_1_1, 0, 0 
t236_1_1, 0, 0
t249_1_1, 0, 0 
t250_1_1, 0, 0 
t251_1_1, 0, 0 
t253_1_1, 0, 0 
t28_1_1, 0, 0 
t28_1_2, 0, 0 
t28_1_3, 0, 0 
t31_1_3, 0, 0 
t31_1_4, 0, 0 
t3_1_1, 0, 0 
t41_1_1, 0, 0 
t42_1_1, 0, 0 
t45_1_1, 0, 0 
t45_1_2, 0, 0
t45_1_3, 0, 0 
t47_1_1, 0, 0 
t52_1_1, 0, 0 
t54_1_1, 0, 0 
t62_1_1, 0, 0 
t62_1_2, 0, 0 
t64_1_1, 0, 0 
t69_1_1, 0, 0 
t70_1_1, 0, 0 
t72_1_1, 0, 0 
t75_1_1, 0, 0 
t77_1_1, 0, 0 
t77_2_1, 0, 0 
t81_1_1, 0, 0
t86_1_1, 0, 0 
t91_1_1, 0, 0 
t93_1_1, 0, 0 
t98_1_1, 0, 0 
t98_2_1, 0, 0
