taxon,min_age,max_age
t16_1_1,0.0236474937434316,0.0236474937434316
t21_1_1,0.13413511274174,0.13413511274174
t34_1_1,0.197993394535344,0.197993394535344
t35_1_1,0.252021464342343,0.252021464342343
t66_1,0.190520864414283,0.190520864414283
t82_1,0.172850182429373,0.172850182429373
t90_1,0.804902815801147,0.804902815801147
t91_1,0.695279147432375,0.695279147432375
t91_2,0.475941494667252,0.475941494667252
t92_1,0.360211410881315,0.360211410881315
t102_1,0.0312502188344501,0.0312502188344501
t104_1,0.384366428028762,0.384366428028762
t107_1_1, 0, 0 
t10_1_1, 0, 0 
t11_1_1, 0, 0 
t15_1_1, 0, 0 
t18_1_1, 0, 0 
t18_2_1, 0, 0 
t19_1_1, 0, 0 
t1_1_1, 0, 0 
t20_1_1, 0, 0 
t22_1_1, 0, 0 
t23_1_1, 0, 0 
t25_1_1, 0, 0 
t26_1_1, 0, 0
t26_2_1, 0, 0 
t27_1_1, 0, 0 
t28_1_1, 0, 0 
t28_2_1, 0, 0 
t29_1_1, 0, 0 
t2_1_1, 0, 0 
t30_1_1, 0, 0 
t30_1_2, 0, 0 
t30_1_3, 0, 0 
t31_1_1, 0, 0 
t35_1_2, 0, 0 
t3_1_1, 0, 0 
t40_1_1, 0, 0 
t41_1_1, 0, 0 
t41_2_1, 0, 0
t41_2_2, 0, 0 
t42_1_1, 0, 0 
t42_2_1, 0, 0 
t42_3_1, 0, 0 
t43_1_1, 0, 0 
t44_1_1, 0, 0 
t47_1_1, 0, 0 
t48_1_1, 0, 0 
t49_1_1, 0, 0 
t49_2_1, 0, 0 
t4_1_1, 0, 0 
t51_1_1, 0, 0 
t53_1_1, 0, 0 
t55_1_1, 0, 0 
t5_1_1, 0, 0 
t64_1_1, 0, 0 
t67_1_1, 0, 0 
t69_1_1, 0, 0 
t6_1_1, 0, 0 
t6_1_2, 0, 0 
t78_1_1, 0, 0 
t84_1_1, 0, 0 
t84_2_1, 0, 0 
t85_1_1, 0, 0 
t96_1_1, 0, 0 
t97_1_1, 0, 0 
