Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	turnover
0	-3606.292	-3263.167	-343.1251	0.5387286	1.218293	0.04	0.01	0	4.468427	0.025	0.0407713	0.276449	0.846524	2.83626	0.05	0.0724196	0.107114	0.0669668	0.0168677	0.00104597	0.278032	0.210721	0.0419278	0.0647709	0.421798	0.2
10	-3197.938	-2948.648	-249.2896	0.4730957	0.6539076	0.1012921	0.01639744	4	4.751862	0.08756762	0.0285162	0.233989	0.79966	2.93783	0.1176895	0.430737	0.361963	0.607387	0.695951	0.351248	0.536571	0.206317	0.587508	0.45667	0.938391	0.139328
20	-2963.201	-2722.884	-240.3163	0.7365227	0.2852763	0.1544719	0.02718021	3	4.020869	0.1261879	0.0820004	0.380265	0.937686	2.60005	0.1816521	0.438296	0.260345	0.212871	0.185895	0.147906	0.979743	0.206317	0.19039	0.45667	0.866967	0.1496278
30	-2821.942	-2620.295	-201.6464	0.8650947	0.2630153	0.4940623	0.08446437	4	3.167662	0.2025246	0.109316	0.432079	0.973479	2.48513	0.5785266	0.448902	0.260345	0.662171	0.389859	0.434736	0.834774	0.206317	0.403683	0.606835	1.06772	0.1459991
40	-2608.736	-2411.434	-197.3023	0.877439	0.2850766	0.8026676	0.3723445	4	3.506435	0.1808392	0.111899	0.436539	0.976301	2.47526	1.175012	0.448902	0.543972	0.679549	0.105167	0.549814	0.812629	0.177756	0.253434	0.606835	1.1148	0.3168857
50	-2515.989	-2325.12	-190.8695	0.87083	0.2298184	0.5169283	0.2026491	5	2.954986	0.2043156	0.110517	0.434161	0.974802	2.48052	0.7195774	0.380562	0.547145	1.08737	0.316767	0.417455	0.867291	0.620338	0.282843	0.606835	0.947649	0.2816224
60	-2424.366	-2233.886	-190.4795	1.220543	0.2122276	0.6887022	0.2387109	5	3.446689	0.1779595	0.178756	0.534304	1.02872	2.25822	0.9274131	0.380562	0.509867	1.11504	0.329025	0.201233	0.977954	0.620338	0.327244	0.709507	1.03805	0.2573943
70	-2356.459	-2160.289	-196.17	0.8600791	0.1856199	0.6855504	0.3075622	5	3.502264	0.390741	0.108264	0.430243	0.972306	2.48919	0.9931126	0.380562	0.435065	1.11504	0.329025	0.65469	0.920239	0.591624	0.537669	0.616743	1.25221	0.3096952
80	-2258.153	-2056.238	-201.9156	1.143822	0.1536509	0.5925419	0.3786595	4	4.771298	0.2222057	0.164725	0.516089	1.02027	2.29892	0.9712013	0.292163	0.58678	1.44024	1.41138	0.586703	0.557316	0.456786	0.100688	0.616743	1.63159	0.3898877
90	-2188.229	-1989.613	-198.6156	1.051571	0.1557447	0.5684811	0.2205091	4	4.766501	0.1854006	0.147128	0.491722	1.00805	2.3531	0.7889902	0.356408	0.594633	1.27792	0.536273	0.524122	0.466453	0.430074	0.286428	0.36472	2.22375	0.2794827
100	-2154.793	-1953.429	-201.3648	0.967839	0.1409405	0.2006438	0.5329453	4	4.686133	0.2391175	0.130493	0.466867	0.99446	2.40818	0.7335891	0.548944	0.598315	1.92716	0.174991	0.691702	0.549146	0.78739	0.279586	0.585183	1.97987	0.7264902
