taxon,min_age,max_age
t2_1_1,0.0358009832324338,0.0358009832324338
t7_1_1,0.0214307351013956,0.0214307351013956
t19_1_1,0.0581663936364132,0.0581663936364132
t46_1,1.23483931115455,1.23483931115455
t47_1,0.96067091056976,0.96067091056976
t47_2,0.937713001880225,0.937713001880225
t48_1,0.931326549991093,0.931326549991093
t49_1,0.717138098541826,0.717138098541826
t57_1,0.110046604677531,0.110046604677531
t60_1,0.218108038718294,0.218108038718294
t73_1,0.821599803267632,0.821599803267632
t73_2,0.470397635812789,0.470397635812789
t77_1,0.536302118710902,0.536302118710902
t77_2,0.400630784177823,0.400630784177823
t77_3,0.491839687420755,0.491839687420755
t82_1,0.176643189836621,0.176643189836621
t11_1_1, 0, 0 
t11_2_1, 0, 0 
t14_1_1, 0, 0 
t15_1_1, 0, 0 
t20_1_1, 0, 0 
t22_1_1, 0, 0 
t24_1_1, 0, 0 
t25_1_1, 0, 0 
t28_1_1, 0, 0 
t2_1_2, 0, 0 
t32_1_1, 0, 0 
t33_1_1, 0, 0 
t34_1_1, 0, 0 
t35_1_1, 0, 0 
t36_1_1, 0, 0
t36_1_2, 0, 0 
t37_1_1, 0, 0 
t39_1_1, 0, 0 
t39_1_2, 0, 0 
t3_1_1, 0, 0 
t42_1_1, 0, 0 
t44_1_1, 0, 0 
t45_1_1, 0, 0 
t46_1_1, 0, 0 
t48_1_1, 0, 0 
t48_2_1, 0, 0 
t48_3_1, 0, 0 
t49_1_1, 0, 0
t4_1_1, 0, 0 
t51_1_1, 0, 0 
t56_1_1, 0, 0  
t63_1_1, 0, 0 
t66_1_1, 0, 0 
t67_1_1, 0, 0 
t6_1_1, 0, 0 
t76_1_1, 0, 0 
t7_2_1, 0, 0 
t80_1_1, 0, 0 
t82_1_1, 0, 0 
t85_1_1, 0, 0 
t8_1_1, 0, 0 
t8_1_2, 0, 0 
t91_1_1, 0, 0 
t96_1_1, 0, 0 
t97_1_1,  0, 0
