taxon,min_age,max_age
t8_1_1,0.192956765973303,0.192956765973303
t11_1_1,0.0440447821812072,0.0440447821812072
t11_1_2,0.0983923622175673,0.0983923622175673
t41_1_1,0.895387231334606,0.895387231334606
t46_1_1,0.842496494964147,0.842496494964147
t52_1_1,1.61434684984063,1.61434684984063
t108_1,2.44046007434172,2.44046007434172
t108_2,2.33911839479782,2.33911839479782
t108_3,2.24608658447512,2.24608658447512
t111_1,2.55622313004215,2.55622313004215
t111_2,2.55502953306884,2.55502953306884
t115_1,1.45620136604636,1.45620136604636
t116_1,1.28701532113795,1.28701532113795
t120_1,0.495698114111968,0.495698114111968
t123_1,0.398881834716458,0.398881834716458
t130_1,0.218589010075288,0.218589010075288
t134_1,0.460525440894535,0.460525440894535
t157_1,2.07537567309722,2.07537567309722
t162_1,1.61953741887967,1.61953741887967
t165_1,1.29491341014625,1.29491341014625
t166_1,1.04456465709773,1.04456465709773
t168_1,0.597977515563962,0.597977515563962
t170_1,0.285203741163877,0.285203741163877
t170_2,0.113391836556897,0.113391836556897
t171_1,1.26424181017201,1.26424181017201
t171_2,1.23379082022023,1.23379082022023
t177_1,0.753236592609475,0.753236592609475
t185_1,0.103866525626268,0.103866525626268
t189_1,0.318476993210076,0.318476993210076
t102_1_1, 0, 0 
t105_1_1, 0, 0 
t113_1_1, 0, 0 
t113_2_1, 0, 0 
t113_3_1, 0, 0 
t114_1_1, 0, 0 
t119_1_1, 0, 0 
t11_1_3, 0, 0 
t121_1_1, 0, 0 
t123_1_1, 0, 0 
t123_2_1, 0, 0 
t124_1_1, 0, 0 
t124_1_2, 0, 0 
t124_1_3, 0, 0 
t125_1_1, 0, 0 
t125_1_2, 0, 0 
t128_1_1, 0, 0 
t129_1_1, 0, 0 
t12_1_1, 0, 0 
t132_1_1, 0, 0 
t137_1_1, 0, 0 
t139_1_1, 0, 0 
t13_1_1, 0, 0 
t140_1_1, 0, 0 
t141_1_1, 0, 0 
t150_1_1, 0, 0 
t151_1_1, 0, 0 
t160_1_1, 0, 0 
t161_1_1, 0, 0 
t164_1_1, 0, 0 
t178_1_1, 0, 0 
t180_1_1, 0, 0 
t180_2_1, 0, 0 
t185_1_1, 0, 0 
t189_1_1, 0, 0 
t18_1_1, 0, 0 
t18_1_2, 0, 0 
t191_1_1, 0, 0 
t194_1_1, 0, 0 
t195_1_1, 0, 0 
t204_1_1, 0, 0 
t204_2_1, 0, 0 
t208_1_1, 0, 0 
t208_2_1, 0, 0 
t211_1_1, 0, 0 
t211_2_1, 0, 0 
t213_1_1, 0, 0 
t217_1_1, 0, 0 
t222_1_1, 0, 0 
t231_1_1, 0, 0 
t234_1_1, 0, 0 
t235_1_1, 0, 0 
t238_1_1, 0, 0 
t248_1_1, 0, 0 
t24_1_1, 0, 0 
t24_2_1, 0, 0 
t24_2_2, 0, 0 
t254_1_1, 0, 0 
t260_1_1, 0, 0 
t265_1_1, 0, 0 
t265_2_1, 0, 0 
t266_1_1, 0, 0 
t26_1_1, 0, 0 
t280_1_1, 0, 0 
t284_1_1, 0, 0 
t284_2_1, 0, 0 
t28_1_1, 0, 0 
t291_1_1, 0, 0 
t2_1_1, 0, 0 
t37_1_1, 0, 0 
t3_1_1, 0, 0 
t40_1_1, 0, 0 
t42_1_1, 0, 0 
t42_1_2, 0, 0 
t45_1_1, 0, 0 
t45_1_2, 0, 0 
t48_1_1, 0, 0 
t49_1_1, 0, 0 
t4_1_1, 0, 0 
t53_1_1, 0, 0 
t54_1_1, 0, 0 
t57_1_1, 0, 0 
t57_2_1, 0, 0 
t59_1_1, 0, 0 
t62_1_1, 0, 0 
t64_1_1, 0, 0 
t66_1_1, 0, 0 
t67_1_1, 0, 0 
t68_1_1, 0, 0 
t72_1_1, 0, 0 
t73_1_1, 0, 0 
t76_1_1, 0, 0 
t76_1_2, 0, 0 
t78_1_1, 0, 0 
t80_1_1, 0, 0 
t82_1_1, 0, 0 
t86_1_1, 0, 0 
t87_1_1, 0, 0 
t87_2_1, 0, 0 
t8_2_1, 0, 0 
t91_1_1, 0, 0 
t91_2_1, 0, 0 
t96_1_1, 0, 0 
t98_1_1, 0, 0 
