taxon,min_age,max_age
t10_1_1,0.0082174906144276,0.0082174906144276
t16_1_1,0.0181834596520434,0.0181834596520434
t21_1_1,0.0555500584195239,0.0555500584195239
t43_1,0.408537817238207,0.408537817238207
t44_1,0.275182737997385,0.275182737997385
t54_1,0.0964333592959175,0.0964333592959175
t64_1,0.392613749480386,0.392613749480386
t66_1,0.301264428245042,0.301264428245042
t11_1_1, 0, 0 
t13_1_1, 0, 0 
t14_1_1, 0, 0 
t18_1_1, 0, 0 
t1_1_1, 0, 0 
t20_1_1, 0, 0 
t20_2_1, 0, 0 
t21_2_1, 0, 0 
t21_2_2, 0, 0 
t22_1_1, 0, 0 
t23_1_1, 0, 0 
t23_2_1, 0, 0 
t24_1_1, 0, 0 
t25_1_1, 0, 0
t26_1_1, 0, 0 
t26_1_2, 0, 0 
t26_1_3, 0, 0 
t27_1_1, 0, 0 
t27_1_2, 0, 0 
t28_1_1, 0, 0 
t28_1_2, 0, 0 
t29_1_1, 0, 0 
t2_1_1, 0, 0 
t30_1_1, 0, 0 
t33_1_1, 0, 0 
t34_1_1, 0, 0 
t35_1_1, 0, 0 
t3_1_1, 0, 0 
t41_1_1, 0, 0 
t44_1_1, 0, 0
t46_1_1, 0, 0 
t4_1_1, 0, 0 
t58_1_1, 0, 0 
t5_1_1, 0, 0 
t67_1_1, 0, 0 
t6_1_1, 0, 0 
t7_1_1, 0, 0 
t8_1_1, 0, 0 
t8_2_1, 0, 0 
t9_1_1, 0, 0
