taxon,min_age,max_age
t6_1_1,0.338928021754761,0.338928021754761
t14_1_1,0.0406870979477749,0.0406870979477749
t41_1_1,0.461713846300267,0.461713846300267
t44_1_1,0.705633301096605,0.705633301096605
t60_1,1.53604022327691,1.53604022327691
t61_1,1.12987319658846,1.12987319658846
t62_1,1.0810144600829,1.0810144600829
t72_1,0.0657474339793866,0.0657474339793866
t78_1,1.12330761723386,1.12330761723386
t79_1,0.766306543557678,0.766306543557678
t80_1,0.546293226956093,0.546293226956093
t88_1,0.0852171992411576,0.0852171992411576
t90_1,0.136494499320043,0.136494499320043
t91_1,0.672733222367893,0.672733222367893
t92_1,0.450031170521938,0.450031170521938
t93_1,0.885660405919473,0.885660405919473
t93_2,0.693191793506991,0.693191793506991
t110_1,0.298811283525549,0.298811283525549
t117_1,0.174896894045191,0.174896894045191
t124_1_1, 0, 0 
t124_2_1, 0, 0 
t12_1_1, 0, 0 
t12_1_2, 0, 0 
t12_1_3, 0, 0 
t12_1_4, 0, 0 
t130_1_1, 0, 0 
t130_2_1, 0, 0 
t14_2_1, 0, 0 
t150_1_1, 0, 0 
t150_2_1, 0, 0 
t152_1_1, 0, 0 
t154_1_1, 0, 0
t159_1_1, 0, 0 
t160_1_1, 0, 0 
t160_2_1, 0, 0 
t161_1_1, 0, 0 
t17_1_1, 0, 0 
t18_1_1, 0, 0 
t18_2_1, 0, 0 
t19_1_1, 0, 0 
t27_1_1, 0, 0 
t28_1_1, 0, 0 
t28_1_2, 0, 0 
t2_1_1, 0, 0 
t31_1_1, 0, 0 
t32_1_1, 0, 0 
t34_1_1, 0, 0 
t34_1_2, 0, 0 
t39_1_1, 0, 0
t40_1_1, 0, 0 
t41_1_2, 0, 0 
t43_1_1, 0, 0 
t45_1_1, 0, 0 
t47_1_1, 0, 0 
t4_1_1, 0, 0 
t50_1_1, 0, 0 
t51_1_1, 0, 0 
t52_1_1, 0, 0 
t58_1_1, 0, 0 
t62_1_1, 0, 0 
t63_1_1, 0, 0 
t64_1_1,0,0
t64_1_2, 0, 0 
t64_1_3, 0, 0 
t66_1_1, 0, 0 
t67_1_1, 0, 0 
t67_2_1, 0, 0 
t70_1_1, 0, 0 
t71_1_1, 0, 0 
t71_1_2, 0, 0 
t72_1_1, 0, 0 
t76_1_1, 0, 0 
t77_1_1, 0, 0 
t79_1_1, 0, 0 
t79_1_2, 0, 0 
t79_1_3,0,0
t79_1_4, 0, 0 
t80_1_1, 0, 0 
t80_2_1, 0, 0 
t81_1_1, 0, 0 
t81_2_1, 0, 0 
t81_3_1, 0, 0 
t84_1_1, 0, 0 
t84_2_1, 0, 0 
t85_1_1, 0, 0 
t8_1_1, 0, 0 


