taxon,min_age,max_age
t2_1_1,0.0052855024873974,0.0052855024873974
t6_1_1,0.0668040772056977,0.0668040772056977
t15_1_1,0.0124970680561633,0.0124970680561633
t19_1_1,0.0784646045374142,0.0784646045374142
t21_1_1,0.0301835629391022,0.0301835629391022
t23_1_1,0.0335465808276162,0.0335465808276162
t23_1_2,0.0629754712333317,0.0629754712333317
t27_1_1,0.139932555294435,0.139932555294435
t39_1,0.354766402110193,0.354766402110193
t50_1,0.58827744887511,0.58827744887511
t10_1_1, 0, 0 
t12_1_1, 0, 0 
t12_1_2, 0, 0 
t13_1_1, 0, 0 
t14_1_1, 0, 0 
t16_1_1, 0, 0 
t17_1_1, 0, 0 
t17_1_2, 0, 0 
t18_1_1, 0, 0 
t1_1_1, 0, 0 
t20_1_1, 0, 0 
t22_1_1, 0, 0 
t25_1_1, 0, 0 
t26_1_1, 0, 0 
t28_1_1, 0, 0 
 t2_1_2, 0, 0 
t31_1_1, 0, 0 
t35_1_1, 0, 0 
t40_1_1, 0, 0 
t49_1_1, 0, 0 
t4_1_1, 0, 0 
t4_1_2, 0, 0 
t4_1_3, 0, 0 
t50_1_1, 0, 0 
t50_2_1, 0, 0 
t50_3_1, 0, 0 
t50_4_1, 0, 0 
t5_1_1, 0, 0 
t5_1_2, 0, 0 
t5_1_3, 0, 0 
t64_1_1, 0, 0 
t7_1_1, 0, 0 
t7_2_1, 0, 0 
t8_1_1, 0, 0 
t8_1_2, 0, 0 
t9_1_1, 0, 0 
