taxon,min_age,max_age
t2_1_1,0.0500082203065835,0.0500082203065835
t31_1_1,0.133789702409961,0.133789702409961
t36_1_1,0.782358264179646,0.782358264179646
t54_1,0.729791006164906,0.729791006164906
t55_1,0.479544481682023,0.479544481682023
t56_1,0.0545606197263098,0.0545606197263098
t56_2,0.189561745300835,0.189561745300835
t60_1,0.779432261881115,0.779432261881115
t63_1,0.411309669972719,0.411309669972719
t63_2,0.485992782064562,0.485992782064562
t63_3,0.373001695317074,0.373001695317074
t66_1,0.566102590270471,0.566102590270471
t76_1,0.28287491834238,0.28287491834238
t79_1,0.833188570627609,0.833188570627609
t80_1,0.548344722897627,0.548344722897627
t86_1,0.144940825209135,0.144940825209135
t86_1_1,0.0864967979059553,0.0864967979059553
t86_2,0.0948325337257059,0.0948325337257059
t90_1,0.692826944790482,0.692826944790482
t93_1,0.912449669856515,0.912449669856515
t94_1,0.413925104823739,0.413925104823739
t94_2,0.579228099548885,0.579228099548885
t94_3,0.473804784490838,0.473804784490838
t95_1,0.374781859783614,0.374781859783614
t100_1_1, 0, 0 
t129_1_1, 0, 0 
t12_1_1, 0, 0 
t138_1_1, 0, 0 
t147_1_1, 0, 0 
t14_1_1, 0, 0 
t151_1_1, 0, 0 
t152_1_1, 0, 0 
t18_1_1, 0, 0 
t19_1_1, 0, 0 
t1_1_1, 0, 0 
t1_1_2, 0, 0 
t1_1_3, 0, 0 
t23_1_1, 0, 0 
t24_1_1, 0, 0 
t26_1_1, 0, 0 
t27_1_1, 0, 0
t28_1_1, 0, 0 
t30_1_1, 0, 0 
t34_1_1, 0, 0 
t40_1_1, 0, 0 
t40_1_2, 0, 0 
t40_1_3, 0, 0 
t40_1_4, 0, 0 
t40_1_5, 0, 0 
t41_1_1, 0, 0 
t42_1_1, 0, 0 
t42_1_2, 0, 0 
t42_1_3, 0, 0 
t45_1_1, 0, 0 
t50_1_1, 0, 0
t50_1_2, 0, 0 
t50_1_3, 0, 0 
t54_1_1, 0, 0 
t55_1_1, 0, 0 
t55_2_1, 0, 0 
t57_1_1, 0, 0 
t59_1_1, 0, 0 
t60_1_1, 0, 0 
t61_1_1, 0, 0 
t69_1_1, 0, 0
t69_2_1, 0, 0 
t6_1_1, 0, 0 
t6_1_2, 0, 0 
t72_1_1, 0, 0 
t72_2_1, 0, 0 
t72_2_2, 0, 0 
t77_1_1, 0, 0 
t77_2_1, 0, 0 
t7_1_1, 0, 0 
t80_1_1, 0, 0 
t84_1_1, 0, 0 
t86_3, 0, 0 
t87_1_1, 0, 0
t8_1_1, 0, 0 
t8_1_2, 0, 0 
t93_1_1, 0, 0 
t93_2_1, 0, 0 

 
