taxon,min_age,max_age
t4_1_1,0.0374000280364924,0.0374000280364924
t23_1_1,0.0879354614856792,0.0879354614856792
t23_1_2,0.102045020035126,0.102045020035126
t25_1_1,0.165244350048702,0.165244350048702
t38_2,0.57830398758836,0.57830398758836
t38_1,0.415096999152231,0.415096999152231
t38_1,0.340372031368523,0.340372031368523
t41_1,0.207912335783442,0.207912335783442
t58_1,0.167183476084095,0.167183476084095
t62_1,0.416964758344093,0.416964758344093
t10_1_1, 0, 0 
t11_1_1, 0, 0 
t12_1_1, 0, 0 
t12_2_1, 0, 0 
t13_1_1, 0, 0 
t13_1_2, 0, 0 
t13_1_3, 0, 0 
t14_1_1, 0, 0 
t16_1_1, 0, 0 
t16_2_1, 0, 0 
t16_3_1, 0, 0 
t17_1_1, 0, 0 
t18_1_1, 0, 0 
t18_1_2, 0, 0 
t19_1_1, 0, 0 
t1_1_1, 0, 0 
t20_1_1,0, 0 
t21_1_1, 0, 0 
t22_1_1, 0, 0 
t24_1_1, 0, 0 
t26_1_1, 0, 0 
t26_2_1, 0, 0 
t27_1_1, 0, 0 
t28_1_1, 0, 0 
t2_1_1, 0, 0 
t3_1_1, 0, 0 
t43_1_1, 0, 0 
t46_1_1, 0, 0 
t5_1_1, 0, 0 
t6_1_1, 0, 0 
t7_1_1, 0, 0 
t7_1_2, 0, 0 
t8_1_1, 0, 0 
t9_1_1, 0, 0 
t9_2_1, 0, 0
