taxon,min_age,max_age
t5_1_1,0.0253156730354085,0.0253156730354085
t15_1_1,0.110187423644633,0.110187423644633
t58_1,0.288833921438498,0.288833921438498
t59_1,0.171193950457248,0.171193950457248
t60_1,0.0651152793706187,0.0651152793706187
t60_1_1,0.107377851859166,0.107377851859166
t60_2_1,0.0644565755339605,0.0644565755339605
t61_1,0.257749473990778,0.257749473990778
t62_1,0.138563202459743,0.138563202459743
t65_1,0.142369418428217,0.142369418428217
t10_1_1, 0, 0 
t10_2_1, 0, 0 
t11_1_1, 0, 0 
t11_2_1, 0, 0 
t12_1_1, 0, 0 
t13_1_1, 0, 0 
t13_2_1, 0, 0 
t14_1_1, 0, 0 
t16_1_1, 0, 0 
t16_1_2, 0, 0 
t17_1_1, 0, 0 
t18_1_1, 0, 0 
t18_2_1, 0, 0 
t18_3_1, 0, 0 
t1_1_1, 0, 0 
t20_1_1, 0, 0
t21_1_1, 0, 0 
t21_2_1, 0, 0 
t22_1_1, 0, 0 
t23_1_1, 0, 0 
t25_1_1, 0, 0 
t26_1_1, 0, 0 
t26_1_2, 0, 0 
t28_1_1, 0, 0 
t2_1_1, 0, 0 
t30_1_1, 0, 0 
t32_1_1, 0, 0 
t33_1_1, 0, 0 
t34_1_1, 0, 0 
t36_1_1, 0, 0 
t46_1_1, 0, 0 
t46_2_1, 0, 0 
t49_1_1, 0, 0
t58_1_1, 0, 0 
t60_2, 0, 0 
t60_3, 0, 0 
t6_1_1, 0, 0 
t6_2_1, 0, 0 
t7_1_1, 0, 0 
t9_1_1, 0, 0 
t9_2_1, 0, 0 
t9_3_1, 0, 0 
t9_4_1, 0, 0
