Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	turnover
3320	-1168.373	-1044.8	-123.5732	1.90175	0.1148662	0.5439222	0.0158676	1	3.79394	0.04801378	0.281258	0.644142	1.06732	2.00728	0.5597898	1.28734	1.68274	2.04507	0.02834564
3330	-1172.497	-1049.046	-123.4505	1.997842	0.1065001	0.6073539	0.006902379	2	3.673675	0.05554684	0.293017	0.654784	1.06994	1.98226	0.6142563	0.974184	2.01069	3.00293	0.01123697
3340	-1169.36	-1045.366	-123.9943	2.315842	0.09791453	0.6585243	0.01464	2	4.218076	0.1355959	0.328271	0.684883	1.0762	1.91064	0.6731643	0.331669	2.02878	2.43522	0.02174803
3350	-1165.246	-1041.762	-123.4841	1.498947	0.106917	0.9125403	0.01571389	2	4.357021	0.04595235	0.22516	0.588381	1.05036	2.1361	0.9282542	0.519496	2.05685	1.77098	0.01692843
3360	-1161.551	-1041.114	-120.4371	1.961592	0.1293711	0.6202101	0.1159239	2	4.224796	0.1396165	0.288646	0.650866	1.069	1.99149	0.736134	0.144084	1.95015	2.55071	0.1574766
3370	-1165.434	-1043.268	-122.1655	1.884898	0.1360548	0.4046932	0.07331143	2	4.902504	0.1812613	0.279137	0.642188	1.06682	2.01185	0.4780046	0.624331	1.88662	2.1952	0.1533697
3380	-1169.317	-1043.053	-126.2641	4.654553	0.1167853	0.4200561	0.3596719	1	4.333438	0.1321758	0.487065	0.795183	1.08385	1.63391	0.7797279	0.598786	1.52994	2.1738	0.4612786
3390	-1169.127	-1042.696	-126.4311	2.600645	0.099565	0.6985113	0.182378	1	4.091601	0.1109368	0.355796	0.706709	1.07968	1.85781	0.8808892	0.420854	1.26818	2.79543	0.2070385
3400	-1167.815	-1042.642	-125.1734	2.424963	0.1110135	0.6924126	0.1109606	1	4.449739	0.09364857	0.339225	0.693732	1.07772	1.88932	0.8033732	0.762967	0.88511	2.50783	0.1381183
3410	-1168.912	-1046.234	-122.6782	2.212231	0.1066885	0.3650844	0.1465376	2	4.777113	0.1183226	0.317357	0.675838	1.07449	1.93231	0.511622	0.657057	1.90374	1.82494	0.2864178
3420	-1173.238	-1047.065	-126.1728	2.677119	0.09595093	0.4420661	0.1592395	1	4.971961	0.08267259	0.362631	0.711924	1.08038	1.84507	0.6013056	1.49448	1.07603	2.84166	0.2648229
3430	-1171.75	-1047.223	-124.5263	3.199044	0.1002818	0.7008543	0.1124862	2	4.941767	0.0486724	0.404097	0.741985	1.08334	1.77058	0.8133405	0.800915	2.31523	2.44178	0.1383015
3440	-1175.162	-1054.108	-121.0542	2.082777	0.1454373	0.6556147	0.1047484	1	4.25763	0.07033441	0.30296	0.663537	1.07193	1.96157	0.7603631	0.972756	1.36813	2.87116	0.1377611
3450	-1164.905	-1046.547	-118.3576	2.065641	0.1304325	0.5547443	0.05131175	2	4.267765	0.1262818	0.300986	0.661817	1.07155	1.96565	0.606056	0.652954	1.90849	2.40965	0.08466503
3460	-1166.182	-1046.622	-119.5596	2.308295	0.1297564	0.6920489	0.2234944	1	3.85139	0.06066955	0.327494	0.684246	1.07609	1.91217	0.9155433	0.91879	2.3422	1.90021	0.2441112
3470	-1173.712	-1053.464	-120.2481	2.244895	0.1316359	0.578109	0.1047974	2	4.078721	0.04410744	0.320854	0.678761	1.07506	1.92532	0.6829065	0.293094	2.72524	2.48165	0.153458
3480	-1172.347	-1051.643	-120.7038	1.936426	0.1131235	0.7054728	0.09342643	2	4.409435	0.03989222	0.285566	0.648079	1.06831	1.99804	0.7988993	0.552441	3.25837	3.1051	0.1169439
3490	-1177.306	-1057.431	-119.8742	2.153634	0.1120343	0.5789245	0.08981739	2	4.597077	0.129364	0.310949	0.670416	1.0734	1.94524	0.6687419	0.768129	2.8184	3.28787	0.134308
3500	-1167.126	-1042.086	-125.0403	1.960242	0.09645637	0.4403979	0.2213557	1	4.018915	0.1228682	0.288482	0.650718	1.06896	1.99184	0.6617536	0.565068	1.91746	2.76338	0.3344986
3510	-1163.579	-1041.43	-122.1492	2.825146	0.1147393	0.6025793	0.140165	2	4.026599	0.09571464	0.375266	0.721363	1.0815	1.82187	0.7427444	0.109358	2.13287	1.8156	0.1887123
3520	-1169.098	-1044.477	-124.6214	1.665838	0.1008852	0.5132243	0.2099231	2	4.522599	0.1802259	0.249842	0.614018	1.05884	2.0773	0.7231473	0.209104	3.41706	1.9802	0.2902909
3530	-1169.624	-1048.045	-121.5785	2.799407	0.1072215	0.5287796	0.2020316	2	4.581652	0.05275227	0.373123	0.71978	1.08133	1.82577	0.7308112	0.41081	3.10582	2.18158	0.2764484
3540	-1171.043	-1044.885	-126.1576	3.393704	0.0989991	0.4449418	0.1329123	1	4.999329	0.04592709	0.417599	0.751233	1.08387	1.7473	0.5778541	0.42772	4.17736	3.13794	0.2300101
3550	-1174.982	-1046.883	-128.0985	3.223387	0.1026975	0.572008	0.2283478	1	4.24212	0.1101173	0.405838	0.743192	1.08342	1.76755	0.8003558	0.963617	2.30926	2.34959	0.2853078
3560	-1163.697	-1038.584	-125.1129	3.030184	0.1059683	1.041824	0.07218201	2	4.221782	0.176817	0.391584	0.733186	1.08266	1.79257	1.114006	0.483724	3.39279	1.94165	0.064795
3570	-1160.871	-1035.721	-125.1497	2.640971	0.1237737	0.9129052	0.1694456	2	4.009786	0.1010814	0.359427	0.709489	1.08006	1.85102	1.082351	0.32979	3.4042	2.22936	0.1565533
3580	-1169.649	-1041.225	-128.4238	2.889435	0.1196963	0.5942113	0.4881395	1	4.525513	0.04078114	0.380523	0.725217	1.08191	1.81235	1.082351	1.32758	1.70329	2.56057	0.4509993
3590	-1162.802	-1034.405	-128.3972	3.753362	0.08431361	0.4798125	0.179908	1	4.432625	0.05022676	0.440278	0.766224	1.08435	1.70915	0.6597205	0.0714028	1.88617	2.3546	0.2727034
3600	-1164.201	-1037.488	-126.7125	1.974754	0.09941474	0.4563956	0.2281353	1	4.446859	0.07344173	0.290242	0.652302	1.06934	1.98811	0.6845309	0.244871	1.35707	2.99793	0.3332724
3610	-1164.171	-1045.999	-118.1723	2.192971	0.1099797	0.5401493	0.1008767	2	3.743805	0.05653963	0.315271	0.674081	1.07415	1.9365	0.641026	1.0809	2.38332	2.232	0.1573675
3620	-1169.65	-1040.112	-129.5376	2.799353	0.1022748	0.2952694	0.2318914	0	3.555841	0.1272302	0.373118	0.719777	1.08133	1.82578	0.5271607	0.125774	1.54766	2.12563	0.4398874
3630	-1167.903	-1039.231	-128.6724	2.081619	0.09967221	0.2525538	0.4092807	1	4.975269	0.05635341	0.302827	0.663421	1.0719	1.96185	0.6618344	0.654141	1.81494	1.8685	0.6184034
3640	-1178.402	-1047.221	-131.1807	1.863317	0.08810192	0.4490278	0.4720903	1	4.79457	0.07067242	0.276394	0.639645	1.06616	2.0178	0.9211181	0.494877	0.863928	2.99495	0.5125188
3650	-1180.123	-1049.864	-130.2589	3.157222	0.09183395	0.4089606	0.2349288	1	4.881138	0.1364677	0.401071	0.739877	1.08319	1.77586	0.6438894	0.18141	0.685303	1.77874	0.364859
3660	-1159.036	-1035.236	-123.7998	3.001925	0.1029166	0.6478135	0.07974413	1	4.713564	0.06616456	0.389411	0.731634	1.08253	1.79643	0.7275576	0.429921	1.09907	1.65528	0.1096052
3670	-1159.012	-1039.717	-119.295	2.54781	0.1021354	0.5246698	0.1129738	2	4.0458	0.07467989	0.350943	0.702958	1.07915	1.86695	0.6376436	0.403478	1.95154	2.27033	0.1771739
3680	-1164.716	-1044.547	-120.1689	2.166784	0.1059209	0.826318	0.08110168	2	3.562554	0.08141568	0.312403	0.671653	1.07365	1.94229	0.9074197	1.17738	2.72204	2.76367	0.08937615
3690	-1164.545	-1040.612	-123.9329	1.920302	0.1159044	0.4454764	0.1590758	1	3.482054	0.112016	0.283572	0.646262	1.06786	2.00231	0.6045522	0.50911	0.792667	2.0832	0.26313
3700	-1175.564	-1048.878	-126.6863	2.050459	0.1018797	0.5485971	0.2021568	1	4.151399	0.1447302	0.299225	0.660274	1.0712	1.9693	0.7507539	1.10112	1.27293	2.22122	0.2692717
3710	-1179.304	-1050.992	-128.3127	2.335886	0.1057731	0.6297415	0.1573109	1	4.27211	0.02796911	0.330324	0.686558	1.0765	1.90662	0.7870524	2.29965	0.796511	1.77731	0.1998735
3720	-1178.623	-1047.73	-130.8929	2.668469	0.0937326	0.3348172	0.1573109	1	4.181722	0.01893631	0.361869	0.711346	1.08031	1.84648	0.492128	1.52473	0.766932	1.79992	0.3196544
3730	-1186.221	-1057.223	-128.9976	2.653758	0.09846875	0.4230302	0.1905726	1	4.110813	0.01817069	0.360566	0.710356	1.08018	1.8489	0.6136029	1.14825	1.81572	2.14999	0.3105798
3740	-1175.029	-1043.657	-131.3728	1.833036	0.08061944	0.6391987	0.146722	1	4.295501	0.01205351	0.272495	0.635997	1.06519	2.02632	0.7859207	2.07842	2.3654	2.1072	0.186688
3750	-1183.462	-1052.177	-131.2849	1.997239	0.07476874	0.4609772	0.04613122	1	4.861747	0.04558915	0.292945	0.65472	1.06992	1.98241	0.5071084	2.07606	0.861619	2.76241	0.09096915
3760	-1171.71	-1045.016	-126.6941	3.077107	0.08135948	0.444908	0.02807674	2	4.32722	0.03901668	0.39514	0.73571	1.08287	1.78628	0.4729847	4.26282	0.329793	1.85626	0.05936076
3770	-1178.166	-1053.302	-124.8634	2.137185	0.08264648	0.568488	0.0303205	2	4.376455	0.05246438	0.309118	0.668851	1.07307	1.94896	0.5988085	2.42402	1.76129	1.82496	0.05063472
3780	-1180.535	-1057.201	-123.3333	2.482159	0.08994429	0.5169197	0.02981415	3	4.813286	0.05038752	0.344759	0.698119	1.07842	1.8787	0.5467338	2.64004	2.12377	2.70823	0.05453138
3790	-1178.255	-1051.125	-127.1297	2.855172	0.07161088	0.4868345	0.1648633	1	4.697529	0.03594022	0.377738	0.72318	1.0817	1.81738	0.6516978	1.83937	1.34983	2.20219	0.2529751
3800	-1172.256	-1044.655	-127.6012	2.052378	0.07985029	0.5494243	0.1809353	1	4.915243	0.04018314	0.299448	0.66047	1.07125	1.96884	0.7303596	2.9273	0.991497	2.20192	0.2477346
3810	-1172.94	-1046.853	-126.0876	2.558354	0.09012731	0.4992729	0.29095	1	4.989604	0.08773319	0.35192	0.703717	1.07926	1.8651	0.790223	1.70284	0.926255	1.8394	0.3681873
3820	-1167.427	-1045.092	-122.3355	2.308571	0.1032406	0.540297	0.1311256	1	3.582132	0.1091734	0.327522	0.684269	1.07609	1.91212	0.6714226	1.97361	1.67312	2.19839	0.1952952
3830	-1175.845	-1052.477	-123.3677	2.787918	0.1044944	0.4550434	0.2566992	1	4.115164	0.1151325	0.372159	0.719066	1.08125	1.82753	0.7117426	1.41817	1.68265	1.29174	0.360663
3840	-1163.481	-1046.303	-117.1774	2.550644	0.1233234	0.558436	0.2425798	1	3.233598	0.08304612	0.351206	0.703163	1.07918	1.86645	0.8010158	1.71004	0.903826	1.52978	0.3028402
3850	-1158.644	-1040.433	-118.211	2.519676	0.1175382	0.6256379	0.1612497	1	3.672112	0.05311877	0.348314	0.70091	1.07885	1.87193	0.7868876	0.983417	1.00344	2.00527	0.2049209
3860	-1158.878	-1040.407	-118.4713	2.520895	0.09992389	0.6070643	0.1290764	1	3.291233	0.07641326	0.348429	0.700999	1.07886	1.87171	0.7361407	0.633785	1.65796	1.94346	0.175342
3870	-1166.127	-1038.686	-127.4411	5.518466	0.09719436	0.6972958	0.1218646	1	4.115611	0.1237652	0.522283	0.81541	1.0823	1.58001	0.8191603	0.844361	1.08148	2.10067	0.1487676
3880	-1161.294	-1035.142	-126.1522	2.448158	0.09387977	0.5764069	0.2055951	1	3.41746	0.09231638	0.341486	0.695531	1.07801	1.88497	0.782002	0.431718	0.861682	2.00258	0.2629087
3890	-1166.627	-1045.212	-121.4147	1.945223	0.1087819	0.6906676	0.07491381	2	4.24562	0.02922857	0.286647	0.649059	1.06856	1.99574	0.7655814	0.5453	1.49263	1.42999	0.09785219
3900	-1170.609	-1044.545	-126.0641	2.143339	0.09149471	0.4742789	0.1474622	1	4.213016	0.05764259	0.309805	0.669439	1.07319	1.94756	0.621741	0.091967	1.66373	2.68339	0.2371762
3910	-1166.484	-1039.503	-126.9812	2.880374	0.1083823	0.3547106	0.2832394	1	3.856186	0.1015429	0.37979	0.724682	1.08186	1.81367	0.63795	0.450412	0.869047	2.13973	0.4439837
3920	-1163.537	-1037.376	-126.1616	2.113963	0.09874237	0.4189958	0.175748	1	3.213796	0.0909665	0.306509	0.66661	1.0726	1.95428	0.5947437	0.78816	0.123261	1.47437	0.295502
3930	-1168.747	-1045.851	-122.8958	2.742928	0.09531421	0.6243126	0.1146351	2	4.09904	0.1062164	0.368342	0.716222	1.08091	1.83452	0.7389477	0.743693	2.31281	2.15598	0.1551329
3940	-1157.931	-1036.955	-120.9757	2.0574	0.1151677	0.7010526	0.06100057	2	4.196522	0.07829066	0.300032	0.660982	1.07136	1.96762	0.7620532	0.515423	4.00128	2.05498	0.08004766
3950	-1178.245	-1053.244	-125.001	3.935031	0.09121131	0.6092613	0.04315327	2	4.20052	0.03948722	0.450757	0.772932	1.08441	1.69191	0.6524146	0.550527	3.65502	2.10856	0.06614394
3960	-1171.474	-1049.657	-121.8173	2.025617	0.1186114	0.7825208	0.04656246	2	4.127225	0.1201699	0.296314	0.65771	1.07062	1.97536	0.8290832	0.336207	2.71225	1.88183	0.05616138
3970	-1161.217	-1038.756	-122.461	2.505284	0.0904488	0.6156817	0.06940046	2	4.172775	0.07226452	0.346957	0.699847	1.07869	1.87451	0.6850822	0.566809	2.82883	1.91213	0.1013024
3980	-1168.799	-1040.566	-128.2337	3.179006	0.07587763	0.4354934	0.05417022	1	4.802019	0.0435565	0.402653	0.740981	1.08327	1.7731	0.4896637	0.496985	2.38953	3.22065	0.1106274
3990	-1163.622	-1039.326	-124.2967	3.828552	0.09402121	0.4948215	0.02058422	2	4.747293	0.0864472	0.444688	0.769064	1.08439	1.70186	0.5154057	0.124938	2.33716	2.36198	0.0399379
4000	-1170.026	-1045.189	-124.8372	1.350257	0.1073906	0.8007267	0.04906069	1	4.905616	0.08195018	0.201236	0.561573	1.04027	2.19692	0.8497874	0.797161	1.28665	1.95963	0.0577329
4010	-1170.957	-1042.512	-128.4443	3.017843	0.1015397	0.5588399	0.2556847	2	4.987991	0.05211373	0.390638	0.732511	1.0826	1.79425	0.8145246	0.172318	1.57482	2.42978	0.3139066
4020	-1167.303	-1039.308	-127.9958	2.596659	0.09034478	0.5766299	0.07740879	0	4.234546	0.0895492	0.355433	0.70643	1.07965	1.85849	0.6540387	0.657366	1.77412	1.9361	0.1183551
4030	-1170.286	-1044.684	-125.6025	1.290768	0.09110052	0.4376919	0.07186409	1	4.377154	0.08905052	0.191118	0.549571	1.03534	2.22397	0.509556	0.595314	0.805314	1.95557	0.1410328
4040	-1174.506	-1051.08	-123.4268	1.799393	0.09283314	0.5822023	0.09269842	1	4.305003	0.07771864	0.268093	0.631832	1.06405	2.03602	0.6749008	0.494377	1.49755	1.08327	0.1373512
4050	-1169.568	-1044.381	-125.1872	2.511817	0.08296938	0.6674697	0.1448219	1	4.595879	0.08595046	0.347574	0.700331	1.07876	1.87333	0.8122916	0.327803	2.18525	1.61559	0.1782881
4060	-1169.717	-1048.758	-120.959	2.355356	0.1108186	0.7050889	0.05389578	2	4.833333	0.05047925	0.3323	0.688163	1.07678	1.90275	0.7589847	0.42163	2.07298	2.43693	0.07101036
4070	-1165.709	-1043.055	-122.6541	1.571587	0.1022323	0.6736031	0.0811839	2	4.475914	0.04647715	0.236172	0.600054	1.05436	2.10941	0.754787	0.395557	2.49301	1.89852	0.1075587
4080	-1164.204	-1040.832	-123.3724	2.641565	0.1151173	0.6146106	0.0939523	2	4.641761	0.08439701	0.35948	0.709529	1.08007	1.85092	0.7085629	0.31871	2.46046	3.16869	0.1325956
4090	-1167.34	-1041.405	-125.9345	2.164209	0.08360929	0.4368686	0.05512613	2	4.96488	0.09710775	0.312119	0.671412	1.0736	1.94287	0.4919947	1.25965	2.25301	3.07443	0.1120462
4100	-1166.102	-1039.218	-126.8838	1.508267	0.1017056	0.4475834	0.09471948	1	4.972868	0.05783361	0.226597	0.589927	1.0509	2.13257	0.5423028	0.697565	0.663369	2.35199	0.1746616
4110	-1166.714	-1039.977	-126.7366	3.189223	0.1007989	0.68689	0.09683683	1	4.640639	0.04194786	0.403391	0.741494	1.0833	1.77181	0.7837268	0.286578	1.25323	2.07919	0.1235594
4120	-1172.823	-1043.536	-129.2874	2.251775	0.08914048	0.4659602	0.3233518	1	4.230772	0.09115657	0.321584	0.679368	1.07518	1.92387	0.7893119	0.648018	0.960464	2.65168	0.4096628
4130	-1174.272	-1045.381	-128.8908	1.883355	0.09187245	0.5737462	0.0894156	1	3.862267	0.1479063	0.278942	0.642008	1.06678	2.01227	0.6631618	0.826852	1.09804	2.39786	0.1348322
4140	-1168.938	-1044.718	-124.2204	2.445855	0.09665714	0.5549991	0.03658141	1	3.350529	0.04783272	0.341262	0.695354	1.07799	1.8854	0.5915805	1.4509	1.46471	1.72443	0.06183674
4150	-1171.674	-1045.676	-125.9979	1.751939	0.1051631	0.4950749	0.04117337	1	3.760883	0.1069533	0.261752	0.625746	1.06233	2.05017	0.5362482	0.300475	1.66588	1.64066	0.07678043
4160	-1166.47	-1036.569	-129.9006	2.114113	0.08433159	0.2895153	0.08587374	1	4.094221	0.02763058	0.306526	0.666624	1.0726	1.95425	0.3753891	0.54306	1.72361	2.37094	0.2287593
4170	-1170.477	-1042.988	-127.4889	1.779896	0.1026241	0.5406834	0.05045482	1	4.537602	0.01452766	0.265506	0.629362	1.06336	2.04177	0.5911383	1.07562	1.78322	2.25196	0.08535198
4180	-1177.024	-1044.874	-132.1493	1.735975	0.0776873	0.330912	0.0708025	2	4.64604	0.008914219	0.259584	0.62364	1.06172	2.05505	0.4017145	0.461628	3.13681	2.98524	0.1762508
4190	-1169.891	-1037.585	-132.3059	2.09826	0.07177303	0.569883	0.08660876	1	4.655734	0.01774866	0.304729	0.665072	1.07226	1.95794	0.6564918	0.81217	2.89398	3.52041	0.1319266
4200	-1175.046	-1046.943	-128.1027	2.457473	0.09681878	0.4650431	0.1841562	2	4.976156	0.05557665	0.342387	0.696246	1.07813	1.88324	0.6491993	0.885485	2.89398	2.98837	0.2836666
4210	-1174.338	-1044.949	-129.3892	2.486951	0.0887436	0.2878854	0.1995302	2	4.803458	0.05103745	0.345216	0.69848	1.07848	1.87783	0.4874156	0.40675	3.81182	1.89121	0.4093636
4220	-1171.862	-1042.442	-129.4195	2.856606	0.08600409	0.3564502	0.2671422	1	4.796185	0.05318346	0.377855	0.723266	1.08171	1.81717	0.6235924	0.248447	2.34703	2.52575	0.4283923
4230	-1162.867	-1039.09	-123.7778	1.486444	0.1167811	0.6309239	0.1346508	1	4.592542	0.06023201	0.223221	0.586284	1.04962	2.14088	0.7655747	0.152621	3.48211	2.77966	0.1758819
4240	-1166.848	-1041.214	-125.6333	2.892899	0.1066835	0.4969167	0.2568889	1	4.900364	0.05989578	0.380803	0.72542	1.08193	1.81184	0.7538057	0.270864	3.05201	2.37421	0.3407893
4250	-1168.1	-1044.836	-123.2641	1.731703	0.09495646	0.5349047	0.1485229	2	4.446864	0.04062396	0.259001	0.623071	1.06156	2.05637	0.6834275	0.443975	2.56103	2.42103	0.2173206
4260	-1159.423	-1033.914	-125.5092	2.599131	0.08115982	0.4562545	0.1380041	1	4.729311	0.06089082	0.355658	0.706603	1.07967	1.85807	0.5942585	0.423918	3.44602	2.63599	0.232229
4270	-1157.359	-1035.036	-122.3237	2.706562	0.119285	0.4824884	0.05819653	2	4.708094	0.06041812	0.365205	0.713868	1.08063	1.8403	0.540685	0.272197	4.70571	2.49258	0.1076348
4280	-1156.963	-1033.27	-123.6931	1.777605	0.1030825	0.4318149	0.0873067	2	4.960734	0.07122473	0.265201	0.629069	1.06328	2.04245	0.5191216	0.0983629	4.96068	2.70586	0.1681816
4290	-1160.704	-1037.57	-123.1342	2.156596	0.09755355	0.5027362	0.1733235	2	4.992471	0.06806441	0.311277	0.670696	1.07346	1.94457	0.6760597	0.889154	4.94174	2.46276	0.256373
4300	-1163.034	-1038.094	-124.9401	1.577852	0.08855178	0.6240038	0.1134706	2	4.959161	0.07341731	0.237102	0.601022	1.05468	2.10719	0.7374744	0.543411	4.95916	2.20401	0.1538638
4310	-1157.669	-1034.15	-123.5192	2.282636	0.0932026	0.5191862	0.04249987	2	4.825961	0.1146045	0.32483	0.682056	1.07568	1.91743	0.5616861	0.450003	4.81214	2.15507	0.07566482
4320	-1158.828	-1039.162	-119.6661	2.316258	0.1239683	0.5486319	0.08594347	2	4.962291	0.06726731	0.328314	0.684918	1.07621	1.91056	0.6345754	0.562237	4.91231	1.78164	0.1354346
4330	-1163.733	-1040.286	-123.4462	2.782622	0.09477489	0.3525625	0.2356059	2	4.886699	0.05758486	0.371713	0.718735	1.08121	1.82834	0.5881684	0.677453	4.76186	3.05683	0.4005755
4340	-1158.94	-1036.514	-122.4259	2.471126	0.1016016	0.4939485	0.1153696	2	4.571815	0.02280424	0.343702	0.697286	1.07829	1.88072	0.6093181	0.405919	4.54936	3.25065	0.1893421
4350	-1162.635	-1039.477	-123.1583	2.468119	0.1004759	0.5678214	0.07463151	2	4.898389	0.03207096	0.343413	0.697058	1.07826	1.88127	0.642453	1.07934	4.87669	2.94952	0.1161665
4360	-1165.962	-1038.416	-127.5461	2.166785	0.08678891	0.4313848	0.1307056	2	4.946364	0.06401047	0.312403	0.671653	1.07365	1.94229	0.5620904	0.422929	4.92418	3.20133	0.2325349
4370	-1171.128	-1043.797	-127.3312	2.911648	0.08469424	0.3210634	0.109764	2	4.946364	0.06770397	0.382309	0.726516	1.08204	1.80913	0.4308274	0.206777	4.94006	2.41055	0.2547748
4380	-1166.917	-1045.278	-121.6385	1.489935	0.1053022	0.5994087	0.0917581	2	4.922413	0.07051926	0.223763	0.586872	1.04983	2.13954	0.6911668	0.508888	4.4699	2.06695	0.1327583
4390	-1172.716	-1048.972	-123.7439	1.514993	0.1080656	0.8814991	0.05744282	2	4.950098	0.1160168	0.227629	0.591033	1.05129	2.13005	0.938942	0.155647	4.92776	2.01433	0.06117824
4400	-1170.492	-1048.56	-121.9325	1.690484	0.1213108	0.5866756	0.0599704	2	4.759361	0.09842344	0.253306	0.61747	1.05989	2.06933	0.6466461	0.484939	4.75795	2.19891	0.09274069
4410	-1160.464	-1036.979	-123.4848	1.954095	0.117705	0.2968022	0.2043362	2	4.265769	0.1705328	0.287733	0.650042	1.0688	1.99343	0.5011384	0.58287	4.10075	2.278	0.407744
4420	-1163.633	-1042.044	-121.5888	1.631151	0.1075296	0.488454	0.05220837	2	4.912306	0.0915432	0.24489	0.609024	1.05728	2.08881	0.5406623	0.334281	4.91224	3.2342	0.09656373
4430	-1159.797	-1037.265	-122.5321	2.252488	0.107058	0.4783504	0.05999095	2	4.954029	0.1179097	0.32166	0.679431	1.07519	1.92372	0.5383413	0.494892	4.95403	1.97677	0.1114366
4440	-1161.176	-1038.398	-122.7783	3.531412	0.09801999	0.6572786	0.05545253	2	4.9243	0.08837768	0.426608	0.757268	1.08412	1.732	0.7127312	0.245984	4.92175	2.22211	0.07780287
4450	-1163.208	-1044.495	-118.7134	2.833783	0.1188798	0.6721515	0.04997252	2	4.723	0.04946696	0.37598	0.721889	1.08156	1.82057	0.722124	1.38696	4.7157	1.92968	0.06920213
4460	-1159.042	-1036.888	-122.154	4.25161	0.09907442	0.5436117	0.05959149	2	4.792784	0.03740694	0.467672	0.783484	1.08428	1.66456	0.6032031	0.448082	4.47226	2.08782	0.09879174
4470	-1157.515	-1036.645	-120.87	1.626564	0.111896	0.8240425	0.08170009	2	4.871607	0.09528979	0.244228	0.608352	1.05706	2.09036	0.9057426	0.951745	4.85795	2.23057	0.09020233
4480	-1173.744	-1044.466	-129.278	3.716944	0.09038494	0.402082	0.1201969	2	4.951361	0.1352607	0.438103	0.764815	1.08433	1.71276	0.5222789	0.217475	4.95133	2.34256	0.2301393
4490	-1176.764	-1050.842	-125.9219	2.704047	0.1036627	0.7081742	0.1430524	2	4.952377	0.1920543	0.364986	0.713703	1.08061	1.8407	0.8512266	1.19974	4.95238	2.77396	0.1680544
4500	-1163.732	-1041.631	-122.1007	2.154789	0.100609	0.5465574	0.09910597	2	4.988363	0.06688098	0.311077	0.670525	1.07342	1.94498	0.6456633	0.438391	4.94887	3.07146	0.1534948
4510	-1159.132	-1035.022	-124.1098	2.790571	0.1051243	0.3915096	0.1040964	2	4.921262	0.03300964	0.372382	0.719231	1.08127	1.82712	0.495606	0.705903	4.6558	2.76611	0.2100386
4520	-1168.613	-1044.191	-124.4222	2.119777	0.0887378	0.4521868	0.05105931	2	4.882847	0.06678237	0.307165	0.667175	1.07272	1.95294	0.5032461	0.596242	4.84254	3.15479	0.1014599
4530	-1171.177	-1047.997	-123.1798	3.022159	0.1174112	0.7739943	0.03679369	2	4.941021	0.07986009	0.390969	0.732747	1.08262	1.79366	0.810788	0.167508	4.87369	1.61829	0.04538016
4540	-1165.869	-1040.876	-124.9931	4.267791	0.1210517	0.4113116	0.05855044	2	4.821972	0.1706806	0.468494	0.783989	1.08427	1.66324	0.469862	0.394543	4.4145	1.85798	0.124612
4550	-1157.798	-1038.36	-119.4372	2.712681	0.1188905	0.6797072	0.04591981	2	4.773879	0.08766278	0.365736	0.714268	1.08068	1.83932	0.725627	0.370371	4.77375	2.22624	0.06328295
4560	-1158.192	-1037.441	-120.7508	3.801029	0.1094811	0.7190534	0.03639771	2	4.874081	0.1088833	0.443086	0.768035	1.08438	1.7045	0.7554511	0.05102	3.85442	1.55845	0.0481801
4570	-1161.141	-1039.393	-121.7476	4.666026	0.1022036	0.5388835	0.0349105	2	4.791619	0.08911991	0.487586	0.795491	1.08383	1.63309	0.573794	0.545026	4.79162	2.15007	0.06084152
4580	-1163.297	-1044.949	-118.348	1.683313	0.1109881	0.5212152	0.03283435	2	4.817441	0.08748238	0.252303	0.616474	1.05959	2.07163	0.5540496	0.757044	4.68038	1.95024	0.05926248
4590	-1164.034	-1045.363	-118.6713	2.069671	0.127545	0.8121147	0.05274826	2	4.778616	0.1472175	0.301452	0.662224	1.07164	1.96469	0.864863	0.670931	4.07453	1.55236	0.06099031
4600	-1158.425	-1035.796	-122.6293	2.497355	0.1068138	0.6367409	0.1140942	2	4.943616	0.03115401	0.346206	0.699258	1.0786	1.87594	0.7508351	0.392977	4.22498	1.88574	0.1519564
4610	-1161.308	-1042.548	-118.7601	1.633551	0.1271522	0.5963459	0.1081574	2	4.98152	0.05991274	0.245236	0.609375	1.05739	2.088	0.7045033	0.486257	4.97406	2.43333	0.1535229
4620	-1166.481	-1042.984	-123.4966	2.043563	0.09332299	0.8266808	0.1297003	2	4.609776	0.09473321	0.29842	0.659568	1.07104	1.97097	0.9563811	0.468749	4.60971	2.59934	0.1356157
4630	-1166.823	-1042.059	-124.7641	4.24094	0.09512159	0.749748	0.1915236	2	4.895234	0.1149329	0.467128	0.78315	1.08429	1.66543	0.9412716	0.1654	4.89154	2.40747	0.2034732
4640	-1169.027	-1045.449	-123.5782	2.86115	0.1117338	0.4691284	0.3325258	2	4.89736	0.1031018	0.378227	0.723538	1.08174	1.8165	0.8016542	0.81079	4.89705	1.93747	0.4147995
4650	-1168.496	-1042.714	-125.7825	2.481233	0.0846908	0.4953181	0.2819737	2	4.845262	0.07063254	0.34467	0.69805	1.07841	1.87887	0.7772918	0.625479	4.84526	2.06179	0.3627643
