Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	turnover
30150	-3172.589	-2920.401	-252.1877	0.4483508	0.2242206	0.7987103	0.0137993	15	4.939727	0.2015326	0.0242626	0.216867	0.778718	2.98015	0.8125096	0.951011	0.382788	0.581393	0.775445	0.0707699	0.380695	2.9953	1.12098	2.86855	3.26105	1.03893	1.36245	4.93973	0.0887482	0.13859	2.21202	0.01698355
30160	-3170.524	-2919.258	-251.2664	0.4442452	0.2067881	0.7888481	0.01682052	15	4.95958	0.3187572	0.0235804	0.213969	0.775042	2.98741	0.8056686	0.996479	0.236771	0.581393	0.775445	0.0707699	0.380695	3.02371	1.03729	2.86855	3.40621	0.841708	1.02482	4.95958	0.0887482	0.125514	2.1104	0.02087772
30170	-3169.929	-2916.416	-253.5125	0.4100046	0.1914531	0.7934107	0.02994837	15	4.96664	0.3107107	0.0181838	0.189189	0.741884	3.05074	0.8233591	0.996479	0.236771	0.671291	0.775445	0.0707699	0.380695	3.1119	0.935576	2.86855	3.40621	0.841708	1.02482	4.96664	0.0377573	0.125514	2.4554	0.0363734
30180	-3170.355	-2919.602	-250.7536	0.4915515	0.1997065	0.7992831	0.03528103	15	4.96664	0.3624883	0.0318327	0.246365	0.814022	2.90778	0.8345641	0.965778	0.273128	0.847599	0.775445	0.0707699	0.380695	3.1119	0.970404	2.86855	3.53375	1.01584	1.02482	4.85851	0.0377573	0.125514	2.4554	0.0422748
30190	-3173.87	-2922.666	-251.2036	0.47484	0.2365991	0.7732855	0.06746524	15	4.96664	0.3615114	0.0288246	0.235174	0.801061	2.93494	0.8407507	0.965778	0.273128	0.847599	0.775445	0.0707699	0.380695	3.1513	1.09123	3.09017	3.5189	1.01584	1.02482	4.96664	0.0377573	0.0786998	2.93821	0.08024405
30200	-3166.171	-2914.549	-251.6213	0.4692475	0.2274567	0.7635121	0.06319925	15	4.96664	0.2964456	0.0278395	0.231366	0.796535	2.94426	0.8267113	1.01185	0.451261	0.847599	0.775445	0.0707699	0.356633	3.1513	1.25757	3.09017	3.5189	1.01584	0.856021	4.96589	0.0377573	0.11315	2.54946	0.07644658
30210	-3164.882	-2909.775	-255.1071	0.4181629	0.1999484	0.726185	0.1460485	15	4.995804	0.1656825	0.0194195	0.195189	0.75021	3.03518	0.8722335	1.01195	0.451261	0.847599	0.727548	0.0707699	0.459798	3.1513	1.08191	2.98952	3.65688	0.9332	1.0833	4.9958	0.0377573	0.11315	2.54946	0.167442
30220	-3180.509	-2924.678	-255.8313	0.3946992	0.1873433	0.7078037	0.06072959	15	4.995804	0.3912235	0.0159572	0.177785	0.72548	3.08078	0.7685333	0.824719	0.360406	0.76125	0.727548	0.0707699	0.595151	3.1513	0.873192	2.9601	3.65688	0.9332	1.0833	4.9958	0.0756266	0.11315	2.54946	0.07902011
30230	-3173.544	-2920.442	-253.1021	0.4108817	0.2174511	0.6805656	0.03211564	15	4.995804	0.2469213	0.0183151	0.189837	0.742792	3.04906	0.7126812	0.975768	0.462579	0.716934	0.727548	0.0214698	0.596039	3.1513	0.851757	2.91721	3.47787	0.9332	1.0833	4.9958	0.0421645	0.378663	2.54946	0.04506312
30240	-3179.848	-2922.701	-257.1462	0.4610794	0.1899312	0.6911999	0.1154848	15	4.995804	0.1742721	0.0264212	0.22575	0.789744	2.95809	0.8066847	0.975768	0.480837	0.716934	0.727548	0.0214698	0.536668	3.1513	0.881084	2.99424	3.60978	0.9332	1.02391	4.9958	0.0421645	0.100254	2.80995	0.1431597
30250	-3171.524	-2915.31	-256.2143	0.3731463	0.1943181	0.7322527	0.1014461	15	4.995804	0.2927618	0.0130386	0.16143	0.700506	3.12503	0.8336987	0.917984	0.353936	0.755403	0.745725	0.0214698	0.538925	3.1513	1.07764	2.89614	3.57279	0.9332	1.02391	4.9958	0.0421645	0.159533	2.80995	0.1216819
30260	-3174.277	-2918.672	-255.6044	0.4269536	0.2075934	0.6318072	0.2018915	14	4.99473	0.2221529	0.0207872	0.201588	0.758874	3.01875	0.8336987	1.01381	0.338013	0.755403	0.745725	0.0634892	0.686972	3.12773	0.935468	2.89614	3.57279	0.9332	1.02391	4.99473	0.0319341	0.250682	1.98323	0.2421636
30270	-3179.031	-2920.608	-258.4233	0.3813982	0.1974243	0.9139242	0.1728331	15	4.99473	0.5498264	0.0141248	0.167729	0.71034	3.10781	1.086757	1.01042	0.484403	0.658357	0.745725	0.0634892	0.489693	3.20661	0.967556	2.97402	3.64622	0.836615	1.02391	4.99473	0.0319341	0.250682	1.98323	0.1590356
30280	-3164.96	-2914.276	-250.6839	0.4338211	0.2150775	0.6535453	0.09040973	15	4.99473	0.354373	0.0218806	0.206538	0.765431	3.00615	0.7439551	1.03356	0.484403	0.658357	0.745725	0.0634892	0.431094	3.04398	0.967556	2.82567	3.40849	0.836615	1.14357	4.99411	0.0319341	0.250682	1.79109	0.1215258
30290	-3169.633	-2918.5	-251.1334	0.4584417	0.1916286	0.686881	0.1197505	15	4.99473	0.2583904	0.0259687	0.223922	0.787504	2.9626	0.8066315	1.03356	0.383276	0.440229	0.745725	0.0324578	0.447753	3.17426	0.958178	2.84614	3.40849	0.836615	1.14357	4.99455	0.0319341	0.0266206	2.44211	0.1484575
30300	-3166.976	-2915.02	-251.9562	0.417307	0.1871819	0.6548884	0.07828158	15	4.99473	0.3154243	0.0192884	0.194562	0.749349	3.0368	0.7331699	1.03356	0.435896	0.836101	0.734898	0.125922	0.447753	3.12994	0.958178	2.84614	3.7549	0.836615	1.47746	4.99473	0.0319341	0.216912	2.46573	0.1067714
30310	-3172.67	-2913.446	-259.2241	0.4370133	0.2020548	0.7032956	0.06267223	14	4.943239	0.3019573	0.0223961	0.208825	0.768417	3.00036	0.7659678	0.913292	0.435896	0.836101	0.755731	0.125922	0.447753	3.12994	0.958178	2.84614	3.41617	0.836615	1.35048	4.93581	0.0353185	0.127912	2.5513	0.08182097
30320	-3173.545	-2917.736	-255.8094	0.5174108	0.191249	0.5559391	0.1077412	15	4.98597	0.2823861	0.0366584	0.26313	0.832535	2.86768	0.6636803	1.02718	0.435896	0.717144	0.755731	0.125922	0.447753	3.14507	1.12681	2.84614	3.40163	0.836615	1.43473	4.96093	0.0353185	0.127344	2.54023	0.162339
30330	-3173.52	-2908.758	-264.7618	0.4592349	0.1819082	0.9681331	0.300548	13	4.98597	0.2823861	0.0261045	0.224472	0.78818	2.96124	1.268681	0.970236	0.298721	0.777131	0.755731	0.125922	0.426545	3.07723	1.12681	2.84614	3.40163	0.887697	0.963418	4.98584	0.0353185	0.109529	2.73036	0.236898
30340	-3168.439	-2910.097	-258.3427	0.4044489	0.2194834	0.6367081	0.3398848	14	4.905179	0.2644467	0.0173614	0.185072	0.73605	3.06152	0.9765929	0.970236	0.329705	0.668547	0.755731	0.125922	0.426545	2.98459	0.960471	2.66859	3.30036	0.887697	0.924959	4.90518	0.0353185	0.109529	2.73036	0.3480312
30350	-3164.537	-2910.516	-254.0205	0.4011571	0.2079337	0.7683196	0.2148577	14	4.905179	0.2630676	0.0168817	0.18262	0.73253	3.06797	0.9831773	1.05531	0.384579	0.668547	0.755731	0.125922	0.406697	2.98459	0.819557	2.66859	3.43959	0.887697	0.356088	4.90518	0.0353185	0.109529	2.73036	0.218534
30360	-3169.941	-2915.738	-254.203	0.4926185	0.2377592	0.6594855	0.3038761	14	4.937123	0.1799303	0.0320279	0.24707	0.814822	2.90608	0.9633616	1.05531	0.356678	0.629931	0.6504	0.0468453	0.459951	2.98459	0.794391	2.66859	3.41779	0.887697	0.196923	4.93712	0.0101719	0.109529	2.6743	0.315433
30370	-3176.726	-2915.656	-261.0703	0.4767544	0.1858832	0.6394085	0.2924074	13	4.998958	0.5196891	0.0291644	0.23647	0.802588	2.93178	0.9318159	0.955596	0.249036	0.629931	0.6504	0.0999674	0.434832	2.98459	0.885245	2.66859	3.41779	0.887697	0.196923	4.99321	0.0101719	0.109529	1.79443	0.3138039
30380	-3171.875	-2919.696	-252.1787	0.4417741	0.1936172	0.7905982	0.1410317	14	4.998958	0.3469555	0.0231732	0.212217	0.772799	2.99181	0.9316299	0.9513	0.266134	0.629931	0.64153	0.0363608	0.486111	2.98459	0.966556	2.9786	3.4067	0.893809	0.618943	4.99896	0.0101719	0.109529	1.57982	0.1513817
30390	-3170.629	-2919.078	-251.5512	0.42551	0.2615782	0.7641021	0.16684	14	4.998958	0.2117165	0.0205601	0.200542	0.757473	3.02143	0.930942	0.87456	0.257021	0.684517	0.64153	0.0363608	0.340855	2.98459	0.966556	2.9786	3.4067	0.893809	0.252497	4.99896	0.0101719	0.145094	1.57982	0.1792163
30400	-3171.595	-2916.415	-255.18	0.4319328	0.2456398	0.6786599	0.1218307	14	4.998958	0.3794794	0.0215778	0.205182	0.763646	3.00959	0.8004905	0.87456	0.257021	0.554643	0.671124	0.0363608	0.481149	2.98459	0.957094	3.01924	3.4067	0.792411	0.452811	4.99896	0.0101719	0.096907	1.57982	0.152195
30410	-3167.85	-2918.141	-249.7086	0.3970116	0.2223716	0.6433092	0.2158032	14	4.998958	0.237113	0.0162856	0.17952	0.728026	3.07617	0.8591124	0.87456	0.299423	0.498976	0.671124	0.0363608	0.480406	2.94937	0.857349	3.01924	3.36025	0.792411	0.452811	4.9986	0.0101719	0.118354	2.30621	0.2511932
30420	-3169.271	-2913.203	-256.0676	0.4179965	0.251537	0.6137578	0.2576159	14	4.998958	0.2537655	0.019394	0.195067	0.750043	3.0355	0.8713738	0.892986	0.299423	0.498976	0.671124	0.0363608	0.440524	2.94937	0.792778	3.01924	3.4207	0.732278	0.876363	4.99896	0.0101719	0.122275	2.30621	0.2956434
30430	-3183.922	-2928.501	-255.4214	0.4291991	0.2511229	0.7072448	0.3437551	14	4.923388	0.3760921	0.0211423	0.203211	0.761038	3.01461	1.051	0.886358	0.299423	0.498976	0.671124	0.00520463	0.440524	2.94937	0.896175	3.01924	3.56062	0.958459	0.876363	4.92329	0.0101719	0.0980065	2.30621	0.3270743
30440	-3167.121	-2917.259	-249.8622	0.4100152	0.239236	0.9216565	0.2324426	14	4.923388	0.3321029	0.0181854	0.189197	0.741895	3.05072	1.154099	0.886358	0.405878	0.498976	0.671124	0.00520463	0.440524	2.94937	0.829985	3.01924	3.51033	0.887772	0.793335	4.91678	0.0342526	0.0830201	2.30621	0.2014061
30450	-3170.307	-2918.303	-252.0043	0.4597148	0.2373464	0.9079054	0.09626917	14	4.967632	0.3729668	0.0261868	0.224805	0.788588	2.96042	1.004175	0.886358	0.35348	0.633838	0.671124	0.00520463	0.328191	2.94937	1.07902	2.9454	3.37253	0.887772	0.793335	4.96491	0.0342526	0.121325	2.30621	0.09586895
30460	-3175.91	-2927.212	-248.6979	0.3813895	0.218974	0.7045827	0.0645988	15	4.973539	0.2609631	0.0141236	0.167723	0.71033	3.10782	0.7691815	0.82046	0.222048	0.469571	0.730709	0.00520463	0.328191	2.94937	1.22063	2.93102	3.37253	1.1166	0.870478	4.97354	0.063112	0.121325	1.97742	0.08398383
30470	-3177.154	-2926.108	-251.0455	0.3859143	0.2227093	0.8190033	0.08147537	15	4.973539	0.2204642	0.0147359	0.171158	0.715577	3.09853	0.9004787	0.812508	0.222048	0.469571	0.77829	0.140738	0.297228	2.94937	0.972201	2.93102	3.37253	1.1166	1.56867	4.97354	0.0915858	0.065349	1.97742	0.09048007
30480	-3173.07	-2921.268	-251.8028	0.426751	0.2254215	0.7551798	0.09339938	15	4.984919	0.2320818	0.0207552	0.201441	0.758678	3.01913	0.8485792	0.824844	0.415058	0.500966	0.798363	0.140738	0.297228	2.94937	1.09216	2.93102	3.52011	1.1166	1.56867	4.98492	0.0915858	0.0862143	2.3146	0.1100656
30490	-3167.63	-2915.631	-251.9984	0.4430682	0.2200966	0.8459637	0.0648296	15	4.984919	0.3083557	0.0233861	0.213135	0.773976	2.9895	0.9107933	0.87263	0.415058	0.902401	0.778195	0.140738	0.341021	3.01154	1.07236	2.8102	3.50769	0.989763	1.60851	4.98492	0.0915858	0.0731867	2.2333	0.07117927
30500	-3180.647	-2925.511	-255.1365	0.448573	0.2170259	0.903887	0.01008007	15	4.990402	0.2693383	0.0242997	0.217024	0.778915	2.97976	0.9139671	0.895802	0.234609	0.923737	0.778195	0.140738	0.403072	3.07129	1.07236	2.8102	3.50769	0.989763	0.989401	4.9904	0.0915858	0.0731867	2.2333	0.01102892
30510	-3174.111	-2918.246	-255.8643	0.3670344	0.2032658	0.7496116	0.02093309	14	4.995695	0.3159633	0.01226	0.156737	0.692994	3.13801	0.7705447	0.941044	0.551795	0.836943	0.778195	0.012071	0.304576	3.07129	1.15072	2.8102	3.4673	1.02162	0.963761	4.99569	0.0915858	0.0698402	2.29395	0.02716661
30520	-3181.196	-2925.713	-255.4822	0.3690878	0.2133598	0.6390307	0.1478218	14	4.995695	0.2787606	0.0125191	0.158316	0.69554	3.13363	0.7868526	0.926134	0.518888	0.85808	0.778195	0.012071	0.236954	2.88662	1.18262	2.75174	3.17369	0.989397	1.22054	4.98957	0.0915858	0.0698402	2.29395	0.1878647
30530	-3173.901	-2917.668	-256.2333	0.4643032	0.1842595	0.7996285	0.04327537	14	4.995695	0.1973279	0.026978	0.227974	0.79245	2.9526	0.8429039	0.897364	0.518888	0.470313	0.785778	0.0329803	0.358034	2.85699	1.18262	2.75174	3.64026	0.989397	1.17702	4.99569	0.0915858	0.0959577	1.86203	0.05134081
30540	-3168.079	-2913.116	-254.9634	0.412732	0.1885605	0.7360783	0.06574678	15	4.995695	0.1973279	0.0185932	0.191201	0.744698	3.04551	0.8018251	0.917956	0.309602	0.996449	0.833116	0.0329803	0.320844	2.85699	1.04197	2.35822	3.4068	0.971292	1.70628	4.99569	0.0915858	0.108404	1.86203	0.08199642
30550	-3183.577	-2924.576	-259.0007	0.4970498	0.1736075	0.5480549	0.2252004	15	4.995695	0.2481986	0.0328423	0.249986	0.81811	2.89906	0.7732553	0.878751	0.330609	0.996449	0.833116	0.0329803	0.373232	2.69824	0.975333	2.35822	3.4068	0.971292	1.70628	4.96741	0.0915858	0.103051	3.07754	0.2912368
30560	-3179.173	-2916.63	-262.5425	0.4341592	0.1774736	0.7003644	0.3697655	15	4.995695	0.1989409	0.021935	0.206781	0.765749	3.00554	1.07013	1.04239	0.330609	0.996449	0.924004	0.0329803	0.318098	2.69824	1.23825	2.5072	3.02796	0.971292	2.15055	4.97906	0.0915858	0.103051	2.89768	0.3455333
30570	-3176.686	-2917.27	-259.4156	0.4733085	0.1638403	0.6357538	0.1189254	14	4.995695	0.2985851	0.0285538	0.234134	0.799831	2.93748	0.7546792	1.11177	0.496083	0.996449	0.924004	0.0623878	0.337812	2.69824	1.23825	2.5072	3.02796	0.971292	2.15055	4.99569	0.0915858	0.119352	2.89768	0.157584
30580	-3178.1	-2917.24	-260.8604	0.4643277	0.178714	0.5871486	0.1010082	14	4.995695	0.217476	0.0269823	0.227991	0.79247	2.95256	0.6881569	1.11177	0.496083	0.82066	0.924004	0.0623878	0.378325	2.69824	1.31162	2.5072	3.02796	0.971292	2.29701	4.99569	0.0915858	0.119352	2.89768	0.1467808
30590	-3178.281	-2919.166	-259.1153	0.44045	0.1697511	0.5801867	0.22905	15	4.995695	0.2916573	0.0229561	0.211276	0.771589	2.99418	0.8092367	1.10618	0.496083	0.82066	0.924004	0.0623878	0.325394	2.69824	1.12067	2.53052	3.05545	0.951663	1.59755	4.99569	0.0915858	0.0942549	2.81199	0.2830445
30600	-3181.846	-2924.082	-257.7635	0.4412601	0.1898767	0.9515482	0.2666144	15	4.995695	0.2682947	0.0230888	0.211852	0.77233	2.99273	1.218163	0.945361	0.319095	0.82625	0.924004	0.0623878	0.399287	2.65254	1.24528	2.53052	3.19514	0.951663	1.47415	4.99567	0.0915858	0.0876597	2.90665	0.2188661
30610	-3179.233	-2922.318	-256.9155	0.5469524	0.1696959	0.5631207	0.2114594	15	4.995695	0.2536879	0.0423863	0.281467	0.851639	2.82451	0.7745801	0.990855	0.399454	0.82625	0.924004	0.0523071	0.386071	2.65254	1.24528	2.56286	3.14548	0.92661	1.42139	4.99569	0.0383392	0.154253	2.90665	0.2729988
30620	-3177.507	-2921.22	-256.287	0.456276	0.1981137	0.5839861	0.3045995	15	4.998732	0.2093896	0.0255991	0.222416	0.785648	2.96634	0.8885857	1.08788	0.414917	0.566149	0.924004	0.0523071	0.386071	2.65254	1.05462	2.56286	3.11197	0.92661	1.42139	4.99873	0.0383392	0.0577739	2.84047	0.3427914
30630	-3174.821	-2919.57	-255.2514	0.4302062	0.1853111	0.723844	0.1178059	15	4.998732	0.1721175	0.0213024	0.203938	0.762002	3.01276	0.8416499	1.049	0.391653	0.556269	0.924004	0.0523071	0.397916	2.65254	1.07439	2.56286	3.12207	1.1273	1.42139	4.99873	0.235104	0.0901318	2.66227	0.1399702
30640	-3179.477	-2920.665	-258.8124	0.448261	0.1671524	0.7339531	0.09982335	15	4.998732	0.4354062	0.0242476	0.216804	0.778638	2.98031	0.8337765	1.08262	0.481321	0.556269	0.976233	0.0523071	0.397916	2.65254	1.06195	2.56286	3.12207	1.04232	1.42139	4.99773	0.235104	0.0901318	2.66227	0.1197244
30650	-3171.919	-2916.664	-255.2555	0.4551385	0.1875291	0.5764897	0.09835617	15	4.998732	0.1979994	0.0254057	0.221624	0.784667	2.9683	0.6748458	0.806681	0.481321	0.834415	0.976233	0.0523071	0.397916	2.65254	1.25968	2.56286	3.07791	1.01469	1.25108	4.99849	0.235104	0.072509	2.70127	0.1457461
30660	-3177.609	-2921.112	-256.4978	0.4684174	0.1907315	0.5701549	0.332212	14	4.998732	0.2580534	0.0276942	0.230798	0.795854	2.94565	0.9023669	0.701279	0.26721	0.833933	0.976233	0.0523071	0.397916	2.65254	1.28203	2.56286	3.07791	1.07989	0.964048	4.99873	0.235104	0.072509	2.70127	0.3681562
30670	-3178.087	-2920.701	-257.3869	0.4861768	0.1922777	0.7469382	0.08742917	13	4.998732	0.2632187	0.0308552	0.242796	0.809944	2.91641	0.8343674	0.784128	0.26721	0.833933	0.976233	0.0523071	0.350158	2.65254	1.19485	2.56286	3.15913	1.07989	0.935607	4.98591	0.234525	0.0668102	2.29708	0.104785
30680	-3176.702	-2918.438	-258.2642	0.4337778	0.1819766	0.7728597	0.1300265	14	4.998732	0.277059	0.0218736	0.206507	0.76539	3.00623	0.9028862	0.866794	0.26721	0.826318	0.976233	0.0523071	0.350158	2.65254	1.26472	2.56286	3.02923	1.03161	0.935607	4.99873	0.234525	0.0668102	1.98392	0.144012
30690	-3180.946	-2921.906	-259.0395	0.434781	0.22251	0.6890322	0.2873847	14	4.998732	0.2853442	0.0220351	0.207227	0.766333	3.00441	0.9764169	1.09194	0.274968	0.776297	0.976233	0.00362634	0.445877	2.65254	1.27874	2.56286	3.02923	1.03161	0.935607	4.99873	0.234525	0.113295	2.70174	0.2943258
30700	-3178.884	-2921.982	-256.9023	0.4067148	0.2015012	0.8870942	0.1331414	15	4.998732	0.1944077	0.0176949	0.186754	0.738446	3.05711	1.020236	1.09194	0.273177	0.583065	0.976233	0.00362634	0.445877	2.65254	1.31597	2.40658	3.05764	0.965916	0.850161	4.95213	0.0196535	0.115959	2.70174	0.1305006
30710	-3186.945	-2925.795	-261.1497	0.4212128	0.1651505	0.6417816	0.3127036	13	4.998499	0.2600019	0.0198899	0.197417	0.753251	3.02944	0.9544852	0.949265	0.273177	0.969223	0.976233	0.00362634	0.489901	2.65254	1.1232	2.40658	3.05764	1.13555	1.19279	4.99838	0.0196535	0.1254	2.70174	0.3276149
30720	-3192.587	-2926.658	-265.929	0.438784	0.1996659	0.6199888	0.5579517	13	4.998499	0.2018934	0.022684	0.210089	0.770057	2.99717	1.17794	1.05836	0.214173	0.797297	0.976233	0.144417	0.489901	2.705	1.08734	2.40658	3.05764	1.11464	0.423085	4.9985	0.0196535	0.12828	2.70174	0.4736671
30730	-3185.816	-2926.043	-259.773	0.3601073	0.2009381	0.6077561	0.1751105	14	4.985691	0.3356565	0.0114048	0.151393	0.684235	3.15297	0.7828666	1.05836	0.454953	0.466674	0.976233	0.144417	0.489901	2.705	1.28764	2.40658	3.05764	1.11464	1.1671	4.95182	0.0196535	0.12828	2.76909	0.2236785
30740	-3183.587	-2925.631	-257.9558	0.4716906	0.1718244	0.6702025	0.2565282	14	4.985691	0.2728239	0.0282685	0.233033	0.798524	2.94017	0.9267307	1.026	0.419218	0.466674	0.976233	0.144417	0.489901	2.705	1.31144	2.40658	3.33166	0.959153	0.942309	4.98569	0.0196535	0.12828	2.76909	0.2768099
30750	-3172.162	-2915.907	-256.2549	0.4185377	0.2003442	0.6891718	0.1008349	14	4.922155	0.2532396	0.0194771	0.195463	0.750586	3.03447	0.7900067	0.977434	0.372093	0.655048	1.00268	0.144417	0.460768	2.67281	1.31144	2.40421	3.07814	0.938326	0.942309	4.89069	0.0196535	0.12828	2.76909	0.127638
30760	-3177.128	-2915.13	-261.9975	0.4084724	0.202858	0.7584662	0.2459495	13	4.922155	0.2939273	0.0179554	0.188056	0.740288	3.0537	1.004416	0.961349	0.372093	0.623671	1.00268	0.0113641	0.460768	2.67281	1.33106	2.40421	3.02585	0.92016	0.944918	4.92216	0.228389	0.0575536	2.76909	0.2448682
30770	-3174.648	-2916.895	-257.7526	0.4468363	0.1755842	0.6948145	0.1276368	14	4.922155	0.4000167	0.0240101	0.2158	0.777369	2.98282	0.8224514	0.961349	0.372093	0.623671	0.874004	0.0592984	0.374934	2.67281	1.06974	2.40421	3.02585	0.995808	0.549017	4.92216	0.0844154	0.151097	2.39279	0.1551907
30780	-3171.103	-2911.601	-259.5015	0.4117532	0.2017164	0.881764	0.2419286	13	4.973173	0.3593783	0.0184459	0.19048	0.743692	3.04738	1.123693	1.01825	0.357712	0.633826	0.874004	0.0592984	0.367734	2.69772	1.06974	2.40421	2.95853	1.07333	0.549017	4.97317	0.0844154	0.0528879	1.83293	0.2152979
30790	-3170.859	-2911.016	-259.8424	0.4156839	0.1861332	0.7152663	0.2641627	14	4.88952	0.4298374	0.0190406	0.193372	0.747709	3.03988	0.979429	1.04084	0.290096	0.633826	0.874004	0.0592984	0.422633	2.77112	1.1878	2.41085	2.9233	1.04797	0.535219	4.88952	0.0844154	0.157909	2.16437	0.2697109
30800	-3172.895	-2914.391	-258.504	0.4225673	0.1885144	0.651402	0.2184129	14	4.992547	0.3187546	0.0201002	0.198403	0.75459	3.02691	0.8698149	0.972319	0.448542	0.492294	0.901186	0.0165534	0.4089	2.55596	1.1878	2.41085	3.03749	1.00688	0.0449738	4.97315	0.0844154	0.110502	2.16437	0.2511028
30810	-3176.559	-2918.522	-258.0375	0.4578969	0.2092341	0.8193615	0.1140492	14	4.967157	0.2302579	0.0258755	0.223544	0.787039	2.96354	0.9334108	0.99781	0.448542	0.492294	0.901186	0.0165534	0.501052	2.56552	1.1878	2.41085	2.77566	0.921322	0.0527289	4.96716	0.0844154	0.110502	2.16437	0.1221855
30820	-3178.086	-2916.967	-261.1185	0.3668591	0.1876356	0.6054636	0.1098642	14	4.967157	0.2423175	0.0122379	0.156602	0.692775	3.13838	0.7153278	0.99781	0.448542	0.907848	1.04061	0.0516435	0.453683	2.57755	1.24238	2.3807	2.77566	1.09625	0.107537	4.96716	0.0844154	0.103691	2.42221	0.1535858
30830	-3180.526	-2919.244	-261.2821	0.3863169	0.1894706	0.6019012	0.2218138	14	4.966855	0.2010571	0.0147909	0.171463	0.716039	3.09771	0.8237151	0.885613	0.29812	0.657806	1.04061	0.0430349	0.4779	2.5156	1.29629	2.3807	3.17778	1.09625	0.404119	4.96656	0.0844154	0.161329	2.42221	0.2692847
30840	-3176.944	-2916.568	-260.3764	0.3999899	0.2096059	0.6254865	0.3465109	14	4.999935	0.2023285	0.0167129	0.181749	0.73127	3.07027	0.9719975	0.82251	0.346871	0.472582	1.0665	0.0720425	0.432825	2.5156	1.24844	2.3807	3.17778	1.20531	0.289401	4.99094	0.0844154	0.112531	2.81369	0.3564937
30850	-3179.267	-2918.706	-260.5612	0.3876631	0.1753699	0.712406	0.1781097	14	4.992421	0.2823301	0.0149756	0.172482	0.717578	3.09496	0.8905157	0.829436	0.346871	0.609217	1.0665	0.0720425	0.432825	2.25286	1.28225	2.3807	2.76867	1.20531	0.147994	4.98895	0.0844154	0.112531	2.69133	0.2000074
30860	-3187.382	-2920.413	-266.9688	0.5039687	0.1776563	0.6655791	0.2149041	13	4.992421	0.2681305	0.0341257	0.254499	0.823135	2.88824	0.8804832	0.902816	0.344518	0.609217	1.0665	0.0720425	0.432825	2.2737	1.3571	2.3807	2.86605	1.20531	0.0952911	4.99242	0.0844154	0.199269	2.28992	0.2440752
30870	-3185.989	-2923.609	-262.3799	0.4999192	0.2250004	0.8811785	0.1602311	14	4.996854	0.2872651	0.0333728	0.251863	0.82021	2.89455	1.04141	1.00768	0.311469	0.547467	1.0665	0.0720425	0.475679	2.2737	1.36699	2.3807	2.73238	1.25331	0.0952911	4.97186	0.0355866	0.156293	2.28992	0.1538598
30880	-3177.382	-2916.732	-260.6498	0.4107469	0.1827173	0.6455908	0.1517026	14	4.996854	0.2949012	0.0182949	0.189738	0.742653	3.04931	0.7972934	0.885125	0.311469	0.785015	1.0665	0.121	0.494626	2.3199	1.33921	2.3807	3.15917	1.25331	0.124155	4.99683	0.0355866	0.156293	2.88735	0.190272
30890	-3180.892	-2916.014	-264.8787	0.4412357	0.1651256	0.5384487	0.1138603	14	4.996854	0.2024566	0.0230848	0.211834	0.772308	2.99277	0.652309	0.761612	0.311469	0.962177	1.0665	0.057718	0.515045	2.3199	1.22341	2.43742	3.15917	1.25331	0.127602	4.99685	0.0355866	0.156293	1.95947	0.1745497
30900	-3190.701	-2922.573	-268.1272	0.494886	0.1711366	0.8721634	0.2160176	12	4.997543	0.2891573	0.0324438	0.248564	0.816511	2.90248	1.088181	1.01734	0.304481	0.491092	0.962211	0.057718	0.496137	2.3199	1.08845	2.43742	2.7859	1.0416	0.386672	4.97662	0.0355866	0.113762	2.63436	0.1985126
30910	-3178.937	-2915.498	-263.4392	0.4385628	0.1843845	0.5258804	0.1700881	14	4.997543	0.30597	0.0226479	0.209931	0.769852	2.99757	0.6959685	1.01734	0.327652	1.03355	0.962211	0.0970283	0.496137	2.3199	1.08845	2.26392	2.7859	1.30361	0.324129	4.99754	0.0355866	0.113762	2.42661	0.2443905
30920	-3171.448	-2908.937	-262.5116	0.4331049	0.1810182	0.562089	0.09115102	14	4.991987	0.2732636	0.0217656	0.206024	0.764755	3.00745	0.65324	1.13958	0.40797	0.843688	0.962211	0.0970283	0.496137	2.48124	1.08845	2.37034	2.76599	1.26734	0.324129	4.99173	0.0355866	0.0693607	2.42661	0.1395368
30930	-3175.223	-2911.561	-263.6624	0.4611528	0.16861	0.6098624	0.1637514	13	4.991987	0.2337702	0.0264339	0.225801	0.789806	2.95796	0.7736138	0.852924	0.379698	1.16969	0.953916	0.0970283	0.496137	2.34978	1.08845	2.37034	2.91941	1.08047	0.411137	4.99199	0.0355866	0.189959	2.18775	0.2116707
30940	-3174.258	-2912.346	-261.9124	0.495147	0.1923045	0.6747183	0.1640396	14	4.991987	0.2601168	0.0324918	0.248736	0.816705	2.90207	0.8387578	1.22043	0.505559	1.24223	0.953916	0.0263746	0.496137	2.34978	1.31567	2.37034	2.91941	1.08047	0.261797	4.98393	0.0355866	0.158292	2.18775	0.1955744
