Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	turnover
170	-3468.086	-3192.695	-275.3917	0.4905555	0.1569451	0.560196	0.3270062	11	4.712662	0.241856	0.0316509	0.245706	0.813273	2.90937	0.8872022	1.33577	0.611173	0.208251	0.968767	0.102688	1.49819	1.62215	1.03828	1.47118	1.29263	0.278309	1.82963	3.01509	1.27178	1.13734	2.67996	0.3685814
180	-3445.641	-3168.236	-277.4043	0.5316998	0.1733321	0.4095233	0.1646304	11	4.909518	0.2288689	0.039403	0.272107	0.842031	2.84646	0.5741537	1.34426	0.801147	0.208251	0.968767	0.0393893	1.40862	1.52463	1.03828	0.964797	1.27578	0.257064	1.88593	3.56888	0.254738	1.07111	2.67996	0.2867357
190	-3441.403	-3163.462	-277.9408	0.5294403	0.1700706	0.5349885	0.2164076	10	4.825514	0.2099941	0.0389656	0.270701	0.840562	2.84977	0.7513962	1.34426	0.579904	0.462522	0.935014	0.0393893	1.40862	1.52463	1.03828	1.31418	1.02539	0.482757	1.74141	3.81399	0.254738	0.943051	2.41229	0.2880074
200	-3434.03	-3152.027	-282.003	0.5212062	0.1411059	0.4695051	0.3967079	8	4.761878	0.2103564	0.0373824	0.265535	0.835106	2.86198	0.866213	1.32093	0.743353	0.462522	0.935014	0.0393893	1.3992	1.52463	1.12369	1.36811	0.76646	0.482757	1.74141	2.69291	0.254738	0.943051	2.41229	0.4579796
210	-3396.747	-3116.372	-280.375	0.4751939	0.1554573	0.6814935	0.2211558	8	4.579331	0.295805	0.0288874	0.235413	0.801344	2.93435	0.9026493	1.31315	0.846542	0.399207	0.958537	0.0393893	1.3992	1.52463	1.15898	1.36123	1.45843	0.573122	1.40808	3.53358	0.291747	0.647289	2.25812	0.2450074
220	-3374.974	-3098.798	-276.1761	0.5293394	0.193899	0.7426469	0.2138921	11	4.900143	0.153825	0.0389461	0.270638	0.840496	2.84992	0.956539	1.22586	0.760421	0.735298	0.808422	0.0393893	1.15268	1.69898	1.15408	1.42756	1.5283	0.648616	2.29129	3.53358	0.0601034	0.596556	2.25812	0.2236104
230	-3355.525	-3073.038	-282.4865	0.4678795	0.1527298	0.6351033	0.2272638	8	4.976949	0.1730059	0.0276002	0.23043	0.795412	2.94656	0.8623671	1.57865	0.760421	0.312235	0.891921	0.0393893	1.04801	1.69898	1.15543	1.42756	1.16522	0.39195	2.29129	3.53358	0.0601034	0.535365	2.54059	0.2635348
240	-3332.211	-3052.907	-279.3042	0.5030675	0.1688636	0.5539598	0.3504613	9	4.993073	0.1535067	0.0339577	0.253914	0.822488	2.88964	0.9044211	1.4602	0.760421	0.395045	0.783363	0.0393893	0.954767	1.70871	1.08751	1.42756	1.18377	0.39195	2.3177	3.53358	0.0601034	0.464401	2.54059	0.3874979
250	-3336.4	-3056.472	-279.9274	0.5017024	0.1736867	0.3236916	0.4979619	8	4.807085	0.1796868	0.0337037	0.253026	0.821503	2.89177	0.8216535	1.46602	0.620892	0.222222	0.816927	0.0393893	0.954767	1.68469	1.11906	1.42756	1.42367	0.43117	2.3177	2.91904	0.0601034	0.464401	2.83359	0.6060485
260	-3309.141	-3035.908	-273.2333	0.4801604	0.1321514	0.6657086	0.1235673	11	4.92919	0.1969756	0.0297721	0.238767	0.805278	2.92618	0.7892759	1.45704	0.620892	0.328963	0.847645	0.0393893	0.934831	1.73333	1.02813	1.55029	1.42367	0.43117	2.3177	2.91904	0.0695151	0.464401	2.83359	0.1565577
270	-3307.799	-3037.134	-270.6658	0.5114459	0.1728943	0.7111926	0.1796545	12	4.809703	0.2259572	0.0355283	0.259322	0.828421	2.87673	0.8908471	1.47634	0.639161	0.81215	0.847645	0.0393893	0.960189	1.66604	1.07815	1.2622	0.750731	0.358715	2.29309	2.91904	0.0695151	0.310812	2.83359	0.2016671
280	-3298.633	-3023.379	-275.2536	0.5331005	0.1590591	0.6337081	0.3938934	11	4.600414	0.2055856	0.0396748	0.272976	0.842935	2.84441	1.027601	1.47634	0.660292	0.423162	0.847645	0.0393893	0.985042	1.66604	1.07993	1.48605	1.23996	0.679736	2.29767	2.91904	0.0695151	0.453444	2.21703	0.3833134
290	-3281.695	-3010.323	-271.3727	0.5334736	0.1341749	0.732843	0.1776949	13	4.888944	0.1721797	0.0397472	0.273208	0.843175	2.84387	0.9105379	1.47634	0.660292	0.119683	0.800698	0.0393893	0.945024	1.5635	0.987769	1.60053	1.23996	0.702153	2.31466	2.96966	0.0695151	0.453444	2.21703	0.1951538
300	-3278.136	-3009.304	-268.8316	0.60502	0.1548143	0.692884	0.2134418	14	4.773083	0.1721797	0.0541451	0.315051	0.883859	2.74695	0.9063258	1.47634	0.703024	0.566566	0.856354	0.0393893	0.945776	1.78659	0.981806	1.36376	1.4064	0.718961	2.31466	3.37669	0.0695151	0.453444	2.86802	0.2355023
310	-3253.907	-2984.965	-268.9424	0.4952781	0.1525243	0.5379653	0.1765116	13	4.801957	0.2645909	0.0325159	0.248822	0.816802	2.90186	0.7144769	1.47634	0.684199	1.19324	0.742116	0.0393893	0.945776	1.78659	0.938278	1.36376	1.21439	0.733707	2.16293	4.06057	0.0695151	0.275624	2.86802	0.2470501
320	-3251.191	-2980.982	-270.209	0.4912367	0.1565328	0.5280464	0.1139374	13	4.843443	0.1478007	0.0317752	0.246156	0.813786	2.90828	0.6419838	1.38419	0.605023	1.16773	0.742116	0.0940874	0.945776	1.78901	1.04685	1.49338	1.21439	0.827658	1.41336	4.28816	0.0171128	0.240979	2.86802	0.1774771
330	-3248.512	-2980.167	-268.3446	0.4273985	0.144541	0.5924846	0.1444823	13	4.915974	0.258534	0.0208573	0.20191	0.759305	3.01793	0.7369668	1.56745	0.699038	0.759142	0.641874	0.0940874	0.946549	1.63716	1.13655	1.68677	1.21439	1.05135	1.64123	4.4239	0.0321613	0.240979	2.86802	0.1960499
340	-3247.592	-2979.396	-268.1956	0.4367374	0.1577218	0.567178	0.1747545	13	4.922858	0.236917	0.0223514	0.208628	0.76816	3.00086	0.7419325	1.37893	0.600825	0.759142	0.84878	0.0940874	0.946549	1.58798	1.10693	1.68677	0.825481	1.05135	1.55077	4.24968	0.0321613	0.240979	2.86802	0.2355396
350	-3242.683	-2972.259	-270.4242	0.5756206	0.1322694	0.3346766	0.3405533	14	4.85903	0.2443379	0.0481219	0.298446	0.868353	2.78508	0.6752299	1.37893	0.566657	0.705003	0.84878	0.0159284	0.943636	1.67761	1.10693	1.68677	0.825481	0.834345	2.01657	3.80787	0.0673293	0.240979	2.5045	0.5043516
360	-3246.635	-2977.152	-269.4833	0.4138877	0.146555	0.6110269	0.3479201	14	4.95085	0.1918406	0.0187679	0.192052	0.745882	3.0433	0.958947	1.37893	0.592349	0.705003	0.917887	0.0159284	0.943636	1.73733	1.1571	1.32743	0.845479	0.834345	1.96812	3.6206	0.0673293	0.419992	2.5045	0.3628147
370	-3247.314	-2975.933	-271.3813	0.4004267	0.1332846	0.6960983	0.1297884	13	4.975331	0.2222542	0.016776	0.182075	0.731742	3.06941	0.8258867	0.918935	0.449644	0.705003	0.917887	0.0159284	0.928013	1.77231	1.1571	1.32743	1.09417	0.834345	1.2433	3.84435	0.0673293	0.152639	2.5045	0.1571504
380	-3234.194	-2963.588	-270.6059	0.474825	0.142606	0.6224823	0.2958347	14	4.875835	0.1286013	0.028822	0.235163	0.801049	2.93497	0.918317	0.933291	0.473868	0.625216	0.917887	0.0159284	0.979683	1.64113	1.13075	1.75585	1.20289	0.822603	1.57787	3.84435	0.0673293	0.25074	2.26394	0.3221488
390	-3221.752	-2953.085	-268.6675	0.487742	0.159642	0.7903547	0.2727547	14	4.98969	0.2389787	0.0311389	0.243838	0.81114	2.91388	1.063109	0.933291	0.473868	0.738679	0.917887	0.0159284	0.76599	1.6917	1.19349	1.75585	1.29312	0.704359	1.43882	3.9184	0.0673293	0.263692	2.51667	0.2565632
400	-3218.82	-2949.74	-269.0806	0.4913303	0.1435001	0.5937804	0.3564899	14	4.802739	0.1252383	0.0317923	0.246218	0.813856	2.90813	0.9502704	1.017	0.636215	0.738679	0.772312	0.0159284	0.642199	1.93663	1.14706	1.75585	1.63827	0.734563	1.26824	3.9184	0.0673293	0.25934	2.50082	0.3751458
410	-3208.152	-2936.712	-271.4397	0.4845493	0.1613846	0.4784442	0.1916187	12	4.947527	0.1343353	0.030561	0.24171	0.808692	2.91904	0.6700629	0.903583	0.470866	0.738679	1.067	0.0159284	0.642199	1.93663	1.26848	1.75585	1.63827	0.970868	0.985974	3.9184	0.0944722	0.232571	2.50082	0.2859712
420	-3205.199	-2937.642	-267.5565	0.4681992	0.1624886	0.4281431	0.269453	13	4.947527	0.18105	0.0276561	0.230649	0.795675	2.94602	0.697596	1.10202	0.537802	0.738679	1.04399	0.0159284	0.814902	1.88611	1.26848	1.75585	1.63827	0.874427	0.512207	3.52865	0.0944722	0.232571	2.63754	0.3862593
430	-3224.848	-2954.205	-270.6429	0.400638	0.1636166	0.2279306	0.5394737	11	4.879405	0.2602733	0.0168066	0.182233	0.73197	3.06899	0.7674042	1.20276	0.561849	0.817813	0.989453	0.0159284	0.666936	1.88611	1.26848	1.75585	1.63827	0.874427	0.230692	3.52865	0.0944722	0.310656	2.84503	0.702985
440	-3213.516	-2947.922	-265.5942	0.4541614	0.1692976	0.5128031	0.2140057	13	4.632462	0.1976469	0.02524	0.220942	0.78382	2.97	0.7268088	1.00586	0.435016	0.570859	1.0156	0.0159284	0.544264	1.95448	1.26848	1.75585	1.84623	0.874427	0.230692	3.56823	0.134535	0.310656	2.84503	0.2944457
450	-3210.33	-2945.612	-264.7176	0.417555	0.1696152	0.7650134	0.1141911	14	4.993376	0.340463	0.0193263	0.194744	0.749599	3.03633	0.8792045	1.13279	0.466313	0.570859	1.0156	0.0159284	0.432606	1.93835	1.15332	1.75585	1.84623	0.874427	0.861524	3.56823	0.134535	0.0734244	2.84503	0.12988
460	-3199.388	-2940.213	-259.1748	0.504191	0.168742	0.7107819	0.1055833	14	4.871371	0.2529423	0.0341672	0.254643	0.823294	2.8879	0.8163653	1.06819	0.466313	1.25254	1.0156	0.0431743	0.432606	1.93835	1.28506	1.75585	1.84623	0.841378	0.861524	3.54611	0.134535	0.100776	3.12165	0.1293334
470	-3199.156	-2939.298	-259.858	0.4696776	0.187506	0.7307904	0.07924165	14	4.865557	0.2596751	0.0279149	0.23166	0.796886	2.94354	0.810032	0.904491	0.543017	0.933033	1.0156	0.0431743	0.500035	1.93835	1.19818	1.75585	1.84623	0.841378	0.813894	3.69347	0.134535	0.204995	3.12165	0.09782534
480	-3199.392	-2937.586	-261.806	0.4759138	0.1763227	0.971118	0.1342756	13	4.874215	0.2271669	0.0290151	0.235901	0.801919	2.93316	1.105394	0.904491	0.533709	0.517549	1.03691	0.0431743	0.500035	2.04616	1.20959	1.83153	1.79748	0.758499	0.608138	3.71196	0.134535	0.204995	2.42148	0.1214731
490	-3188.666	-2929.159	-259.5074	0.4250093	0.1829434	0.501823	0.2452367	13	4.323597	0.1867284	0.0204815	0.200178	0.756985	3.02236	0.7470597	0.922563	0.54627	0.517549	0.858618	0.106216	0.467956	2.01556	1.14401	1.83153	1.89427	0.916857	0.888211	3.9853	0.134535	0.106975	1.87934	0.3282692
500	-3190.776	-2933.258	-257.5188	0.467298	0.1691831	0.6900779	0.142766	13	4.17153	0.1888534	0.0274987	0.230032	0.794933	2.94754	0.8328439	0.878225	0.53688	0.517549	0.858618	0.106216	0.478516	2.01556	1.35271	1.83153	1.75778	0.916857	0.8273	3.80634	0.134535	0.109907	2.6034	0.1714199
510	-3188.251	-2930.906	-257.3447	0.4386816	0.1866816	0.7620752	0.1302015	13	4.492772	0.1715405	0.0226673	0.210016	0.769962	2.99735	0.8922768	1.10064	0.56937	0.534285	0.824004	0.113398	0.403601	2.0093	1.34695	1.83153	1.63702	0.916857	0.8273	3.86667	0.134535	0.0964681	2.6191	0.1459206
520	-3196.768	-2938.743	-258.0252	0.5376022	0.2098527	0.841597	0.06377683	14	4.781711	0.1616051	0.0405512	0.275756	0.845811	2.83788	0.9053738	1.10064	0.46241	0.534285	0.801607	0.00587714	0.279906	2.01543	1.17651	1.69209	1.65303	1.01929	0.961386	3.78244	0.148687	0.0964681	2.6191	0.07044254
530	-3185.776	-2927.388	-258.3886	0.5226477	0.1668094	0.8177098	0.03029053	14	4.483056	0.3717863	0.0376583	0.266444	0.836073	2.85983	0.8480003	1.24143	0.609626	0.954513	0.801607	0.00884628	0.308927	1.99595	1.03303	1.69209	1.65303	1.00038	0.432652	3.98497	0.148687	0.020405	2.6191	0.03571995
540	-3193.352	-2937.59	-255.7623	0.4150874	0.1892716	0.7677796	0.02466675	14	4.662595	0.2871941	0.0189498	0.192934	0.747104	3.04101	0.7924464	1.07204	0.61645	0.649316	0.788014	0.042847	0.405284	1.85591	1.10095	1.69209	1.65886	1.00038	0.455579	3.98497	0.148687	0.020405	2.22729	0.03112734
550	-3176.929	-2920.436	-256.493	0.4979993	0.1994432	0.7740193	0.08993528	14	4.685697	0.4019636	0.0330175	0.250608	0.818807	2.89757	0.8639546	1.39776	0.39317	0.802473	0.79073	0.042847	0.446233	1.9507	1.10095	1.65175	1.94633	1.00038	0.153294	4.00441	0.148687	0.101595	1.88515	0.1040972
560	-3180.374	-2922.673	-257.7006	0.4611201	0.1724501	0.6715451	0.1302376	14	4.766737	0.2911666	0.0264283	0.225778	0.789778	2.95802	0.8017826	1.18176	0.28285	0.802473	0.79073	0.042847	0.446233	1.8866	1.02729	1.65175	1.94633	1.04497	0.121283	4.17877	0.148687	0.177542	1.88515	0.162435
570	-3185.357	-2920.655	-264.7018	0.4790438	0.1591199	0.5577026	0.2293816	14	4.921866	0.3427162	0.0295725	0.238015	0.8044	2.92801	0.7870842	1.18176	0.393435	0.701394	0.755723	0.042847	0.578802	1.97168	1.02729	1.65175	1.98068	0.952649	0.167053	3.96861	0.148687	0.177542	1.88515	0.2914321
580	-3184.082	-2923.933	-260.1485	0.4511878	0.155493	0.6296043	0.1640975	14	4.969778	0.3658295	0.0247381	0.218861	0.781224	2.97518	0.7937018	1.2111	0.373475	0.861952	0.638417	0.042847	0.519515	1.95732	1.10639	1.65175	1.98068	0.854876	0.705277	4.63741	0.0212869	0.177542	2.53151	0.2067496
590	-3183.212	-2921.785	-261.4276	0.4087964	0.1822538	0.7284918	0.1245979	14	4.839646	0.3439606	0.0180036	0.188296	0.740626	3.05307	0.8530898	1.2111	0.338434	0.875858	0.638417	0.0531987	0.448498	1.87606	0.879262	1.65175	1.98068	0.830558	0.50165	4.63741	0.0212869	0.140016	1.86081	0.1460549
600	-3176.06	-2917.658	-258.4024	0.4270455	0.1913707	0.7218068	0.07198156	14	4.831956	0.2297463	0.0208017	0.201654	0.758963	3.01858	0.7937884	1.2641	0.501881	0.875858	0.566438	0.0531987	0.448498	1.9587	0.856436	1.76069	1.98068	0.830558	0.422125	4.55645	0.0212869	0.140931	2.43177	0.09068104
610	-3182.784	-2923.305	-259.4787	0.4272158	0.2243952	0.574208	0.2921071	14	4.90686	0.1839375	0.0208285	0.201778	0.759128	3.01827	0.866315	0.99212	0.573514	0.875858	0.566438	0.0531987	0.448498	1.91399	0.617225	1.76069	1.98068	0.830558	0.366458	4.55645	0.0212869	0.140931	2.43177	0.3371834
