Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	turnover
210	-1910.871	-1687.121	-223.7499	0.2528903	0.1021707	0.7901702	0.1162218	6	4.305025	0.1337725	0.00224921	0.0687851	0.507541	3.42142	0.9063921	0.580038	0.421443	0.852542	0.479656	1.49934	0.466154	0.735389	1.60045	0.425195	1.54414	0.1282247
220	-1908.507	-1688.467	-220.0409	0.2439984	0.1036102	0.6750884	0.27917	7	4.233044	0.1208815	0.00184375	0.0623912	0.488657	3.44711	0.9542584	0.526069	0.529523	1.31576	0.468755	1.43342	0.457778	0.643534	1.71636	0.399474	1.57455	0.2925518
230	-1910.215	-1692.205	-218.0097	0.2378776	0.1174248	0.7300681	0.1344832	9	4.640632	0.1392779	0.00159412	0.058086	0.475215	3.46511	0.8645513	0.549409	0.694574	1.16975	0.468755	1.0247	0.498081	0.634473	1.6806	0.579582	1.57639	0.1555525
240	-1898.537	-1680.263	-218.2733	0.2849295	0.1057287	0.5171583	0.150672	9	4.818469	0.1597833	0.00415263	0.0928352	0.569604	3.33341	0.6678303	0.589335	0.926497	1.31696	0.468755	0.91976	0.550927	0.584345	1.99111	0.664074	1.57639	0.2256142
250	-1862.466	-1643.904	-218.5624	0.2414554	0.08261711	0.5969605	0.1857511	10	4.765684	0.1572638	0.00173717	0.0605924	0.483117	3.45455	0.7827116	0.443358	1.39263	1.31696	0.712174	1.18066	0.498571	0.584917	1.99111	0.664074	1.57639	0.2373174
260	-1852.134	-1637.683	-214.4514	0.2721024	0.102771	0.5015684	0.05410357	10	4.978725	0.1590082	0.0033056	0.0830537	0.545839	3.3678	0.5556719	0.38567	0.882582	1.2893	0.629054	1.42522	0.41622	0.746514	1.84537	0.682957	2.12044	0.09736603
270	-1835.154	-1619.351	-215.8027	0.2136712	0.09833936	0.7260623	0.01786092	10	4.59204	0.1933871	0.000826197	0.0420159	0.418388	3.53877	0.7439232	0.277611	0.670567	1.36876	0.614725	1.68194	0.427312	1.12109	1.96199	0.682957	2.12044	0.02400909
280	-1830.656	-1617.272	-213.3843	0.2546944	0.09050984	0.6685936	0.02071722	10	4.625981	0.240926	0.0023378	0.0701005	0.511281	3.41628	0.6893108	0.328914	0.943589	1.43169	0.614725	1.57576	0.427312	0.652136	1.96199	0.589452	2.12044	0.03005498
290	-1830.494	-1619.247	-211.2471	0.2767881	0.1216645	0.7851933	0.03602495	10	4.193036	0.2773881	0.00360169	0.0866077	0.554682	3.35511	0.8212182	0.132621	0.833798	1.4385	0.503476	1.67136	0.424964	1.08742	1.96199	0.659473	2.21167	0.04386769
300	-1835.151	-1622.728	-212.4227	0.2092256	0.1208825	0.5943379	0.04217278	9	4.523691	0.2139996	0.000720218	0.0392615	0.407304	3.55271	0.6365106	0.194394	1.00551	1.46197	0.654058	1.3264	0.458493	1.02428	1.96199	0.561947	2.21167	0.06625621
